Postaja,Jan,Feb,Mar,Apr,Maj,Jun,Jul,Avg,Sep,Okt,Nov,Dec
LJ Bežigrad,42,27,15,13,12,12,12,13,18,21,24,27
LJ Celovška,/,/,/,/,/,19,20,20,25,25,29,34
MB Titova,34,30,23,17,20,21,21,21,27,27,26,29
MB Vrbanski,/,/,/,/,/,/,4,4,5,8,12,13
CE bolnica,37,28,21,18,14,13,12,15,19,19,23,24
MS Rakičan,21,16,11,11,10,10,7,6,7,9,13,13
NG Grčna,40,32,18,12,11,14,15,16,22,21,28,26
Trbovlje,26,19,16,15,10,9,9,10,12,12,19,19
Zagorje,29,22,17,13,10,8,12,12,15,17,21,23
Koper,32,25,17,11,10,10,14,12,10,12,18,21
Iskrba,3,3,3,3,2,/,/,/,/,/,/,/
Šoštanj,21,14,10,9,8,6,6,7,8,8,14,14
Zavodnje,10,6,5,5,4,3,3,3,4,4,10,7
Škale,14,8,6,5,4,4,3,3,5,7,12,13
Sv. Mohor,12,4,4,4,3,3,4,3,4,4,8,9
LJ Center,57,45,31,24,24,28,29,30,31,31,40,52
CE Gaji,22,16,10,7,8,6,/,/,/,/,/,17
MB Tezno,45,34,23,20,14,13,10,11,15,20,24,25
