Postaja,Jan,Feb,Mar,Apr,Maj,Jun,Jul,Avg,Sep,Okt,Nov,Dec
Ljubljana Bežigrad,50,48,31,29,20,20,21,21,29,33,39,38
Ljubljana center,70,75,66,61,47,53,43,45,54,47,48,61
Maribor center,46,42,38,31,24,31,25,23,29,32,36,34
Celje,23,26,30,25,15,12,13,15,21,24,29,34
Trbovlje,28,17,22,20,16,13,12,14,12,13,13,18
Murska S.-Rakičan,25,17,14,13,9,9,9,9,11,15,19,22
Nova Gorica,42,43,31,21,16,17,19,21,25,28,34,35
Koper,23,26,19,16,14,13,17,15,17,15,24,26
Vnajnarje,9,8,5,6,2,2,1,0,1,3,5,5
Zavodnje,11,9,3,3,3,1,1,1,0,4,3,10
Škale,15,12,9,8,7,5,5,4,6,10,11,15
Kovk,13,12,10,13,7,8,6,4,6,9,13,8
Sv.Mohor,11,3,7,6,5,6,7,6,5,4,8,11
