Postaja,Jan,Feb,Mar,Apr,Maj,Jun,Jul,Avg,Sep,Okt,Nov,Dec
Ljubljana Bežigrad,113,95,87,59,56,28,50,77,62,98,97,158
Ljubljana center,167,182,141,119,118,132,119,144,117,112,125,146
Maribor center,97,120,134,122,86,77,105,88,291,81,90,130
Maribor Vrbanski plato,81,86,71,67,44,40,29,45,45,50,79,84
Celje,84,128,124,84,55,67,67,71,73,83,72,127
Trbovlje,55,76,82,55,46,45,42,54,51,43,62,79
Zagorje,/,/,100,65,53,67,62,51,51,49,51,79
Murska Sobota Rakičan,59,107,72,75,51,46,47,53,55,63,61,90
Nova Gorica,106,112,111,70,92,77,86,124,84,94,83,117
Koper,72,87,106,79,75,74,73,72,56,44,61,93
Zelena trava,33,33,44,23,12,/,/,/,39,51,36,48
Vnajnarje,51,69,78,48,42,37,42,26,39,48,33,57
Zavodnje,65,67,64,37,76,88,68,79,119,72,44,65
Škale,56,49,48,67,41,70,55,50,59,47,37,41
Kovk,73,30,42,35,29,34,34,24,35,47,73,63
Dobovec,48,70,79,64,36,39,40,30,28,37,54,55
Sveti Mohor,40,34,38,25,21,25,21,26,23,25,33,56
