Postaja,Jan,Feb,Mar,Apr,Maj,Jun,Jul,Avg,Sep,Okt,Nov,Dec
LJ Bežigrad,112,123,123,110,72,67,60,78,90,75,153,155
Maribor,106,116,134,118,93,101,72,74,98,65,86,68
Celje,147,98,108,89,94,55,37,68,75,65,96,101
MS Rakičan,99,65,67,65,31,39,33,29,44,48,72,61
Nova Gorica,110,60,95,89,75,65,78,86,64,80,109,92
Trbovlje,82,75,73,63,58,42,47,41,61,49,72,63
Zagorje,98,111,84,71,63,46,53,45,54,57,80,75
Koper,85,76,87,90,53,56,64,60,58,65,69,71
Vnajnarje,54,45,59,30,14,20,16,24,35,34,62,49
Zavodnje,50,59,64,55,50,23,47,44,48,47,51,53
Škale,57,40,36,37,49,23,55,48,28,26,31,55
Kovk,37,61,61,21,21,27,35,15,14,21,59,42
Dobovec,16,16,15,9,9,8,7,21,6,12,11,14
Sv. Mohor,59,32,36,20,14,11,15,11,17,21,36,54
LJ Center,121,119,114,97,94,80,83,96,76,75,108,101
AMP Gaji,162,114,92,75,56,50,54,39,59,50,81,77
Zelena trava,29,67,61,47,82,35,62,36,29,35,50,50
