Postaja,Jan,Feb,Mar,Apr,Maj,Jun,Jul,Avg,Sep,Okt,Nov,Dec
CE bolnica,67,67,44,28,21,18,13,15,26,29,55,79.0
Koper,23,26,17,18,15,15,12,13,12,13,19,32.0
LJ Bežigrad,62,55,34,22,18,16,14,17,26,35,63,82.0
LJ Celovška,96,83,63,44,40,34,29,32,43,61,100,132.0
MB Titova,66,64,52,37,38,35,27,27,35,46,64,72.0
MB Vrbanski,17,13,11,6,5,9,9,6,5,8,13,15.0
MS Rakičan,22,23,15,10,7,7,6,5,11,14,22,39.0
NG Grčna,57,58,43,26,18,18,16,20,32,40,62,95.0
Novo mesto,25,24,17,11,6,5,4,4,8,11,22,25.0
Zagorje,50,50,35,25,21,21,18,18,24,32,53,63.0
LJ Center,127,115,88,69,60,54,42,51,73,79,118,147.0
Zadobrova,61,58,36,17,11,12,12,12,14,21,47,67.0
CE Gaji,48,45,32,20,18,14,12,13,19,21,41,55.0
Sv. Mohor,6,8,6,4,4,3,3,3,4,5,6,11.0
MB Tezno,46,54,31,16,10,12,12,17,29,48,82,
Škale,11,13,8,6,6,5,4,2,7,7,9,12.0
Šoštanj,20,20,12,7,7,6,8,11,13,12,18,24.0
Zavodnje,8,9,5,3,4,6,7,5,4,5,5,7.0
Mobilna TES,28,34,21,17,13,10,8,8,14,15,20,27.0
