Location,Jan,Feb,Mar,Apr,Maj,Jun,Jul,Avg,Sep,Okt,Nov,Dec
Ljubljana Bežigrad,39,39,29,21,14,13,17,16,12,20,22,48
Maribor Center,51,40,34,32,20,22,28,24,20,28,24,40
Celje,51,49,35,28,16,15,19,19,17,24,27,53
MS Rakičan,54,44,32,27,15,16,19,19,15,25,29,44
Nova Gorica,32,25,20,21,15,16,17,16,15,23,18,40
Trbovlje,47,48,37,29,17,17,20,20,20,25,30,55
Zagorje,46,46,37,27,18,16,19,17,17,24,27,58
Hrastnik,33,35,27,24,15,15,18,18,15,21,21,39
Koper,28,19,20,22,15,15,19,18,15,22,13,34
Iskrba,12,18,13,15,11,11,15,14,9,13,8,11
Zerjav,49,55,27,23,15,15,18,19,13,19,21,39
LJ Biotehnična fak.,36,36,29,25,17,17,20,20,16,22,27,48
Kranj,40,39,27,21,13,14,20,17,14,22,22,45
Novo mesto,49,51,34,25,15,13,15,16,13,23,25,51
Velenje,31,29,24,25,13,14,18,18,14,20,17,28
Vrbanski plato,33,28,22,22,13,14,18,19,12,19,14,30
Šoštanj,12,19,15,14,7,9,11,10,7,11,11,20
Pesje,29,22,/,25,17,19,24,23,17,22,17,26
Škale,15,10,26,20,16,16,20,19,14,20,14,20
Kovk,16,16,12,16,15,15,16,16,10,12,7,15
Dobovec,10,16,10,13,13,9,14,14,9,12,6,10
Prapretno,26,28,20,24,17,19,23,25,17,20,18,25
LJ Center,50,51,48,37,32,30,36,33,31,40,34,65
Vnajnarje,17,17,16,20,16,22,39,30,32,30,28,28
Zelena trava,18,21,15,19,16,10,18,19,32,16,12,21
AMP Gaji,44,53,30,25,15,13,17,23,20,28,26,46
