Postaja,Jan,Feb,Mar,Apr,Maj,Jun,Jul,Avg,Sep,Okt,Nov,Dec
ce bolnica,25,40,25,15,17.0,19.0,15.0,16.0,18.0,17.0,20.0,28.0
ce ljubljanska,25,38,25,15,15.0,16.0,12.0,14.0,17.0,16.0,20.0,28.0
hrastnik,16,31,20,12,14.0,16.0,14.0,16.0,17.0,16.0,15.0,21.0
ib gregorčičeva,18,34,19,16,18.0,20.0,19.0,17.0,20.0,19.0,20.0,27.0
ib rečica,10,28,13,13,15.0,18.0,14.0,14.0,16.0,15.0,10.0,16.0
iskrba,5,9,7,6,10.0,14.0,15.0,14.0,14.0,12.0,4.0,5.0
koper,19,36,14,11,13.0,15.0,16.0,15.0,17.0,20.0,13.0,20.0
kranj,24,36,22,12,13.0,14.0,13.0,15.0,16.0,17.0,19.0,26.0
lj bežigrad,19,39,21,13,14.0,17.0,16.0,18.0,19.0,19.0,21.0,29.0
lj celovška,23,41,23,14,15.0,17.0,14.0,17.0,19.0,19.0,21.0,30.0
lj vič,21,37,20,14,16.0,17.0,14.0,16.0,16.0,16.0,20.0,26.0
mb titova,21,30,24,15,20.0,21.0,18.0,17.0,21.0,20.0,18.0,22.0
mb vrbanski,15,20,16,10,13.0,14.0,13.0,12.0,16.0,15.0,12.0,13.0
ms cankarjeva,36,46,29,15,15.0,17.0,14.0,16.0,20.0,20.0,27.0,44.0
ms rakičan,20,30,20,13,13.0,17.0,14.0,14.0,18.0,17.0,19.0,31.0
ng grčna,20,39,19,12,11.0,14.0,14.0,14.0,17.0,19.0,17.0,29.0
ng vojkova,25,43,22,15,14.0,17.0,16.0,17.0,20.0,23.0,21.0,32.0
novo mesto,22,30,18,12,12.0,14.0,13.0,14.0,15.0,15.0,18.0,24.0
ptuj,21,37,22,15,18.0,22.0,14.0,16.0,18.0,17.0,17.0,27.0
trbovlje,19,35,19,11,13.0,14.0,12.0,13.0,14.0,14.0,17.0,26.0
velenje,13,26,17,9,12.0,14.0,11.0,14.0,15.0,15.0,11.0,15.0
zagorje,22,36,20,13,14.0,16.0,14.0,16.0,17.0,16.0,19.0,26.0
žerjav,22,25,22,15,18.0,20.0,15.0,37.0,24.0,21.0,20.0,24.0
pesje,13,26,17,11,13.0,15.0,11.0,14.0,16.0,15.0,11.0,14.0
škale,13,22,13,9,10.0,11.0,8.0,10.0,10.0,8.0,8.0,11.0
šoštanj,14,24,17,12,15.0,17.0,11.0,15.0,18.0,14.0,12.0,17.0
mobilna teš,15,25,16,9,11.0,12.0,8.0,12.0,13.0,11.0,10.0,15.0
lj center,26,45,32,19,20.0,22.0,18.0,22.0,24.0,24.0,28.0,38.0
zadobrova,23,31,28,18,22.0,26.0,25.0,28.0,23.0,24.0,27.0,26.0
medvode,25,36,21,13,13.0,12.0,9.0,15.0,16.0,17.0,20.0,28.0
mb tezno,22,32,21,13,15.0,17.0,14.0,15.0,17.0,18.0,19.0,29.0
pobrežje,20,29,21,13,15.0,18.0,15.0,16.0,19.0,19.0,18.0,22.0
radvanje,16,24,18,11,14.0,16.0,12.0,14.0,15.0,15.0,14.0,17.0
miklavž,26,37,22,14,,,,,,,,
spuhlja,26,44,27,17,17.0,19.0,15.0,17.0,17.0,18.0,21.0,34.0
ruše,17,20,17,11,13.0,15.0,12.0,13.0,14.0,17.0,14.0,13.0
morsko,15,30,14,9,9.0,13.0,12.0,12.0,13.0,14.0,10.0,20.0
gorenje polje,18,35,19,11,12.0,14.0,12.0,14.0,16.0,17.0,12.0,21.0
