Postaja,Dan presežek
CE bolnica,18
CE Mariborska,16
CE Ljubljanska,9
Deskle,4
Hrastnik,8
Iskrba,1
Koper,8
Kranj,6
LJ Bežigrad,12
LJ Biotehniška,4
LJ Celovška,15
LJ Vič,8
MB Titova,13
MB Vrbanski,4
MS Cankarjeva,29
MS Rakičan,14
NG Grčna,6
NG Vojkova,12
Novo mesto,3
Ptuj,13
Trbovlje Nasipi,5
Trbovlje park,5
Velenje,5
Zagorje,14
Žerjav,6
Mobilna TEŠ,1
Pesje,4
Škale,4
Šoštanj,2
LJ Center,30
Zadobrova,8
Medvode,9
CE Gaji,6
MB Tezno,11
Morsko,4
Gorenje Polje,7
Miklavž,18
Spuhlja,20
Ruše,3
Grosuplje,22
Slovenj Gradec,5
