Postaja/Mesec,Jan,Feb,Mar,Apr,Maj,Jun,Jul,Avg,Sep,Okt,Nov,Dec,Leto
Ljubljana F.,50,38,34,20,20,20,24,6,8,19,25,28,24
Ljubljana B.,69,38,41,30,30,36,48,24,15,25,23,31,34
Maribor,50,46,24,20,15,9,9,12,14,22,24,27,23
Celje,72,41,35,24,16,7,13,10,13,27,33,37,27
Trbovlje,106,61,43,37,21,21,18,21,24,29,43,57,40
Hrastnik,94,29,28,22,19,18,13,10,17,18,25,27,27
Zagorje,67,38,42,37,25,27,9,26,33,24,26,23,31
Šoštanj,36,24,18,34,46,33,28,19,29,33,44,6,29
Topolšica,33,23,23,22,16,9,11,13,21,17,20,6,18
Veliki Vrh,80,66,53,56,35,20,37,46,46,43,64,95,53
Zavodnje,103,61,37,31,26,14,21,24,41,45,63,41,42
Velenje,40,14,11,10,7,5,4,3,5,7,12,10,11
Graška Gora,71,64,27,37,45,17,33,15,25,44,28,23,36
Razbor,49,46,34,26,27,,,,,,,,
Škale,,,,,,12,15,7,13,19,15,15,14
Kovk,173,122,40,70,106,51,68,75,40,92,39,50,77
Dobovec,196,61,63,37,41,45,58,63,30,52,78,58,65
Kum,32,24,23,31,20,12,31,29,10,18,38,28,25
Ravenska vas,116,49,91,87,62,80,51,92,108,74,86,83,82
Vnajnarje,37,28,22,15,15,14,21,10,10,21,18,24,20
EIS Celje,66,38,30,25,18,18,17,16,15,27,17,37,27
EIS Krško,41,65,88,81,58,45,47,14,67,28,42,32,51
