Postaja,Jan,Feb,Mar,Apr,Maj,Jun,Jul,Avg,Sep,Okt,Nov,Dec
Ljubljana B.,20,5,11,10,6,6,7,5.0,7.0,7.0,9.0,14.0
Maribor,20,16,10,6,4,6,7,5.0,2.0,5.0,4.0,9.0
Celje,30,14,8,4,5,7,8,6.0,5.0,7.0,11.0,13.0
Trbovlje,64,19,15,14,11,20,14,8.0,7.0,8.0,12.0,17.0
Hrastnik,35,10,21,28,35,36,44,18.0,8.0,9.0,12.0,12.0
Zagorje,31,13,21,20,11,16,15,4.0,13.0,11.0,14.0,25.0
Nova Gorica,10,9,8,6,5,3,3,2.0,3.0,5.0,7.0,7.0
Murska S.-Rakičan,9,4,4,4,6,3,4,2.0,3.0,4.0,5.0,10.0
Šoštanj,34,75,31,34,86,48,79,25.0,23.0,40.0,30.0,14.0
Topolšica,31,23,20,12,14,14,19,10.0,11.0,9.0,7.0,12.0
Veliki Vrh,121,60,54,57,37,35,67,64.0,56.0,45.0,30.0,35.0
Zavodnje,56,50,34,15,26,21,6,6.0,9.0,11.0,15.0,18.0
Velenje,16,9,7,5,5,7,9,6.0,5.0,8.0,7.0,10.0
Graška Gora,36,32,28,15,27,14,18,19.0,19.0,16.0,11.0,8.0
Škale,30,21,16,9,15,8,15,8.0,7.0,12.0,11.0,12.0
Kovk,9,9,7,0,4,3,4,1.0,2.0,4.0,54.0,41.0
Dobovec,92,42,20,42,55,62,34,3.0,11.0,61.0,45.0,22.0
Kum,33,43,49,46,42,31,43,,,,,
Ravenska vas,62,37,81,154,74,99,70,32.0,46.0,32.0,44.0,72.0
Vnajnarje,12,10,7,13,4,3,5,2.0,8.0,5.0,8.0,14.0
EIS Krško,62,50,70,43,44,46,37,37.0,28.0,41.0,85.0,17.0
