Postaja,Jan,Feb,Mar,Apr,Maj,Jun,Jul,Avg,Sep,Okt,Nov,Dec
Ljubljana B.,20,21,29,33,10,10,7,8,18,20,30,38
Maribor,22,17,20,15,20,17,22,10,13,13,22,16
Celje,39,32,41,25,19,10,10,17,23,20,34,100
Trbovlje,22,56,84,29,29,10,15,40,42,31,68,47
Hrastnik,72,20,87,59,41,10,11,65,74,56,75,625
Zagorje,129,110,106,93,85,66,18,59,102,25,146,561
Nova Gorica,15,10,19,8,22,15,15,8,14,11,18,47
Murska S.-Rakičan,10,12,15,7,8,11,6,8,8,7,11,13
Šoštanj,92,16,95,97,71,83,173,114,95,45,57,79
Topolšica,31,20,22,15,13,18,19,18,17,27,17,102
Veliki Vrh,138,274,101,59,64,93,116,109,91,83,149,138
Zavodnje,40,32,35,14,22,18,55,40,17,23,50,72
Velenje,15,14,20,14,16,10,17,15,19,12,16,64
Graška Gora,20,32,28,23,43,19,14,33,32,26,29,99
Pesje,30,24,25,18,14,17,20,25,25,17,23,55
Škale,37,23,55,21,22,11,12,41,36,40,24,55
Kovk,231,218,323,171,251,41,50,188,196,224,294,875
Dobovec,158,271,139,124,84,130,60,172,238,75,407,807
Kum,26,81,34,35,21,18,44,38,19,9,36,26
Ravenska vas,154,142,241,153,144,67,48,118,150,88,300,850
Vnajnarje,40,62,83,56,13,8,7,8,38,24,35,57
EIS Celje,18,17,11,15,8,3,4,/,/,/,15,45
EIS Krško,157,347,233,156,115,100,62,104,106,92,131,71
EIS TEB,114,43,27,24,19,/,30,18,34,29,16,33
