Postaja,Jan,Feb,Mar,Apr,Maj,Jun,Jul,Avg,Sep,Okt,Nov,Dec
ljubljana f.,12.0,12,8.0,9,7,14,7,5,3.0,6,8,15
ljubljana b.,12.0,12,10.0,9,10,8,8,5,5.0,15,13,18
maribor,14.0,12,10.0,8,7,5,6,5,6.0,7,16,18
celje,14.0,18,18.0,10,9,4,6,13,8.0,17,18,36
trbovlje,11.0,15,10.0,8,9,5,3,6,3.0,20,26,47
hrastnik,16.0,19,22.0,19,17,15,7,5,12.0,19,14,34
zagorje,9.0,22,11.0,16,24,8,4,4,5.0,17,31,61
šoštanj,28.0,32,97.0,43,55,77,63,27,59.0,49,26,46
topolšica,4.0,9,5.0,10,14,10,8,15,7.0,14,13,19
veliki vrh,45.0,42,23.0,43,41,34,48,49,62.0,79,60,93
zavodnje,12.0,20,14.0,14,22,16,10,25,13.0,32,32,28
velenje,5.0,5,4.0,4,4,4,2,3,3.0,5,4,14
graška gora,11.0,14,24.0,16,15,12,9,15,14.0,17,15,16
škale,10.0,13,17.0,10,10,7,8,12,8.0,8,7,12
kovk,23.0,71,93.0,42,34,48,7,9,61.0,72,6,9
dobovec,16.0,56,28.0,40,31,18,4,5,52.0,48,53,120
kum,8.0,16,12.0,8,5,10,7,4,13.0,24,95,26
ravenska vas,11.0,41,53.0,57,82,40,22,30,27.0,47,77,115
vnajnarje,8.0,9,11.0,8,9,3,3,2,2.0,8,10,14
eis celje,,17,,4,3,2,2,3,,5,6,11
eis krško,24.0,65,49.0,56,55,50,61,78,25.0,52,27,19
