Postaja,Jan,Feb,Mar,Apr,Maj,Jun,Jul,Avg,Sep,Okt,Nov,Dec
ce bolnica,2,2,2,2,1,1,2,0,2,1,1,2
iskrba,1,1,2,2,1,1,1,2,2,1,1,0
zagorje,1,3,2,1,1,2,1,2,1,2,1,0
lj center,1,2,2,3,6,3,2,2,2,3,2,2
zadobrova,4,4,4,4,5,4,4,4,3,3,4,4
ce gaji,3,4,4,4,2,1,1,1,3,4,6,2
sv. mohor,3,3,4,4,4,3,4,5,3,3,2,2
graška gora,3,3,5,4,5,4,5,5,4,4,4,4
pesje,6,7,5,6,7,6,4,8,7,9,9,7
škale,4,3,5,5,6,3,3,4,6,5,5,5
šoštanj,3,2,3,2,2,3,4,4,3,5,3,2
topolšica,3,3,4,5,6,2,4,6,7,5,2,2
velenje,5,4,6,7,8,4,5,7,4,4,4,3
veliki vrh,4,4,5,5,7,4,5,7,3,3,6,5
zavodnje,4,2,5,3,3,3,2,3,5,5,6,6
mobilna teš,2,2,5,5,7,3,6,9,5,5,4,4
