Postaja,Jan,Feb,Mar,Apr,Maj,Jun,Jul,Avg,Sep,Okt,Nov,Dec
Ljubljana Bežigrad,35,48,31,21,17,15,31,25,16,15,12,40
Ljubljana center,16,37,27,12,10,13,27,16,10,10,5,18
Maribor center,56,41,9,8,9,10,11,5,9,27,11,12
Celje,53,69,35,89,53,41,20,19,17,28,27,29
Trbovlje,43,50,87,28,35,22,8,12,48,42,0,0
Hrastnik,38,38,103,22,20,20,34,25,54,22,15,42
Zagorje,75,47,53,30,67,22,39,26,38,32,20,8
Zelena trava,42,47,123,94,135,87,56,36,33,18,13,16
Vnajnarje,21,33,41,21,44,4,64,75,12,31,26,42
Šoštanj,37,67,485,92,136,194,437,235,123,66,76,158
Topolšica,19,27,62,30,49,48,22,92,62,63,22,20
Veliki Vrh,72,248,887,71,139,82,338,46,570,329,47,355
Zavodnje,59,41,150,89,60,88,56,80,91,82,30,44
Velenje,28,22,93,55,14,46,10,11,22,20,57,13
Graška Gora,22,107,37,35,10,7,7,19,14,10,19,19
Pesje,28,53,68,30,20,75,34,66,58,24,26,23
Škale,60,52,76,57,36,75,53,131,75,39,42,41
Kovk,55,63,66,357,51,52,564,41,287,68,397,89
Dobovec,184,170,200,181,50,139,177,17,120,73,119,90
Kum,35,36,31,12,41,26,103,17,19,192,23,23
Ravenska vas,59,85,102,71,59,87,207,104,254,63,34,38
Brestanica-sv.Mohor,33,37,25,18,10,16,16,8,15,10,34,13
