,Postaja,Leto,Mesec,NOX
0,ljubljana f.,1997,Jan,65.0
1,maribor,1997,Jan,84.0
2,celje,1997,Jan,70.0
3,trbovlje,1997,Jan,
4,zavodnje,1997,Jan,23.0
5,razbor,1997,Jan,19.0
6,skale,1997,Jan,
7,kovk,1997,Jan,10.0
8,vnajnarje,1997,Jan,12.0
9,ljubljana f.,1997,Feb,116.0
10,maribor,1997,Feb,104.0
11,celje,1997,Feb,59.0
12,trbovlje,1997,Feb,51.0
13,zavodnje,1997,Feb,11.0
14,razbor,1997,Feb,9.0
15,skale,1997,Feb,
16,kovk,1997,Feb,
17,vnajnarje,1997,Feb,9.0
18,ljubljana f.,1997,Mar,64.0
19,maribor,1997,Mar,65.0
20,celje,1997,Mar,51.0
21,trbovlje,1997,Mar,54.0
22,zavodnje,1997,Mar,8.0
23,razbor,1997,Mar,9.0
24,skale,1997,Mar,
25,kovk,1997,Mar,1.0
26,vnajnarje,1997,Mar,5.0
27,ljubljana f.,1997,Apr,45.0
28,maribor,1997,Apr,46.0
29,celje,1997,Apr,
30,trbovlje,1997,Apr,50.0
31,zavodnje,1997,Apr,7.0
32,razbor,1997,Apr,7.0
33,skale,1997,Apr,
34,kovk,1997,Apr,0.0
35,vnajnarje,1997,Apr,4.0
36,ljubljana f.,1997,Maj,54.0
37,maribor,1997,Maj,47.0
38,celje,1997,Maj,
39,trbovlje,1997,Maj,42.0
40,zavodnje,1997,Maj,6.0
41,razbor,1997,Maj,6.0
42,skale,1997,Maj,
43,kovk,1997,Maj,1.0
44,vnajnarje,1997,Maj,3.0
45,ljubljana f.,1997,Jun,49.0
46,maribor,1997,Jun,47.0
47,celje,1997,Jun,
48,trbovlje,1997,Jun,44.0
49,zavodnje,1997,Jun,5.0
50,razbor,1997,Jun,
51,skale,1997,Jun,8.0
52,kovk,1997,Jun,3.0
53,vnajnarje,1997,Jun,4.0
54,ljubljana f.,1997,Jul,48.0
55,maribor,1997,Jul,41.0
56,celje,1997,Jul,
57,trbovlje,1997,Jul,44.0
58,zavodnje,1997,Jul,4.0
59,razbor,1997,Jul,
60,skale,1997,Jul,5.0
61,kovk,1997,Jul,7.0
62,vnajnarje,1997,Jul,3.0
63,ljubljana f.,1997,Avg,
64,maribor,1997,Avg,39.0
65,celje,1997,Avg,
66,trbovlje,1997,Avg,46.0
67,zavodnje,1997,Avg,5.0
68,razbor,1997,Avg,
69,skale,1997,Avg,5.0
70,kovk,1997,Avg,4.0
71,vnajnarje,1997,Avg,3.0
72,ljubljana f.,1997,Sep,
73,maribor,1997,Sep,49.0
74,celje,1997,Sep,
75,trbovlje,1997,Sep,56.0
76,zavodnje,1997,Sep,7.0
77,razbor,1997,Sep,
78,skale,1997,Sep,7.0
79,kovk,1997,Sep,3.0
80,vnajnarje,1997,Sep,2.0
81,ljubljana f.,1997,Okt,
82,maribor,1997,Okt,77.0
83,celje,1997,Okt,
84,trbovlje,1997,Okt,59.0
85,zavodnje,1997,Okt,10.0
86,razbor,1997,Okt,
87,skale,1997,Okt,9.0
88,kovk,1997,Okt,7.0
89,vnajnarje,1997,Okt,3.0
90,ljubljana f.,1997,Nov,84.0
91,maribor,1997,Nov,87.0
92,celje,1997,Nov,
93,trbovlje,1997,Nov,79.0
94,zavodnje,1997,Nov,10.0
95,razbor,1997,Nov,
96,skale,1997,Nov,12.0
97,kovk,1997,Nov,14.0
98,vnajnarje,1997,Nov,3.0
99,ljubljana f.,1997,Dec,100.0
100,maribor,1997,Dec,87.0
101,celje,1997,Dec,
102,trbovlje,1997,Dec,78.0
103,zavodnje,1997,Dec,9.0
104,razbor,1997,Dec,
105,skale,1997,Dec,14.0
106,kovk,1997,Dec,18.0
107,vnajnarje,1997,Dec,4.0
0,ljubljana f.,1998,Jan,90.0
1,maribor,1998,Jan,84.0
2,celje,1998,Jan,
3,trbovlje,1998,Jan,70.0
4,zavodnje,1998,Jan,11.0
5,skale,1998,Jan,11.0
6,kovk,1998,Jan,10.0
7,vnajnarje,1998,Jan,1.0
8,skale,1998,Jan,130.0
9,ljubljana f.,1998,Feb,136.0
10,maribor,1998,Feb,82.0
11,celje,1998,Feb,
12,trbovlje,1998,Feb,87.0
