Postaja,Regija,Datum,SO2
graska gora,Koroška,1998-01-31,189
ljubljana f.,Osrednjeslovenska,1998-01-31,98
ljubljana b.,Osrednjeslovenska,1998-01-31,96
vnajnarje,Osrednjeslovenska,1998-01-31,74
maribor,Podravska,1998-01-31,48
eis krsko,Posavska,1998-01-31,244
celje,Savinjska,1998-01-31,115
sostanj,Savinjska,1998-01-31,199
topolsica,Savinjska,1998-01-31,94
veliki vrh,Savinjska,1998-01-31,472
zavodnje,Savinjska,1998-01-31,164
velenje,Savinjska,1998-01-31,82
skale,Savinjska,1998-01-31,81
eis celje,Savinjska,1998-01-31,130
skale,Savinjska,1998-01-31,147
trbovlje,Zasavska,1998-01-31,128
hrastnik,Zasavska,1998-01-31,94
zagorje,Zasavska,1998-01-31,171
kovk,Zasavska,1998-01-31,375
dobovec,Zasavska,1998-01-31,648
kum,Zasavska,1998-01-31,45
ravenska vas,Zasavska,1998-01-31,354
graska gora,Koroška,1998-02-28,170
ljubljana f.,Osrednjeslovenska,1998-02-28,144
ljubljana b.,Osrednjeslovenska,1998-02-28,163
vnajnarje,Osrednjeslovenska,1998-02-28,121
maribor,Podravska,1998-02-28,52
eis krsko,Posavska,1998-02-28,363
celje,Savinjska,1998-02-28,92
sostanj,Savinjska,1998-02-28,214
topolsica,Savinjska,1998-02-28,112
veliki vrh,Savinjska,1998-02-28,374
zavodnje,Savinjska,1998-02-28,211
velenje,Savinjska,1998-02-28,66
skale,Savinjska,1998-02-28,113
eis celje,Savinjska,1998-02-28,117
skale,Savinjska,1998-02-28,113
trbovlje,Zasavska,1998-02-28,136
hrastnik,Zasavska,1998-02-28,87
zagorje,Zasavska,1998-02-28,127
kovk,Zasavska,1998-02-28,325
dobovec,Zasavska,1998-02-28,220
kum,Zasavska,1998-02-28,66
ravenska vas,Zasavska,1998-02-28,377
graska gora,Koroška,1998-03-31,243
ljubljana f.,Osrednjeslovenska,1998-03-31,108
ljubljana b.,Osrednjeslovenska,1998-03-31,109
vnajnarje,Osrednjeslovenska,1998-03-31,73
maribor,Podravska,1998-03-31,41
eis krsko,Posavska,1998-03-31,101
celje,Savinjska,1998-03-31,64
sostanj,Savinjska,1998-03-31,168
topolsica,Savinjska,1998-03-31,178
veliki vrh,Savinjska,1998-03-31,162
zavodnje,Savinjska,1998-03-31,151
velenje,Savinjska,1998-03-31,113
skale,Savinjska,1998-03-31,274
eis celje,Savinjska,1998-03-31,69
skale,Savinjska,1998-03-31,85
trbovlje,Zasavska,1998-03-31,75
hrastnik,Zasavska,1998-03-31,33
zagorje,Zasavska,1998-03-31,155
kovk,Zasavska,1998-03-31,325
dobovec,Zasavska,1998-03-31,242
kum,Zasavska,1998-03-31,80
ravenska vas,Zasavska,1998-03-31,222
graska gora,Koroška,1998-04-30,246
ljubljana f.,Osrednjeslovenska,1998-04-30,67
ljubljana b.,Osrednjeslovenska,1998-04-30,74
vnajnarje,Osrednjeslovenska,1998-04-30,79
maribor,Podravska,1998-04-30,34
eis krsko,Posavska,1998-04-30,97
celje,Savinjska,1998-04-30,30
sostanj,Savinjska,1998-04-30,346
topolsica,Savinjska,1998-04-30,95
veliki vrh,Savinjska,1998-04-30,98
zavodnje,Savinjska,1998-04-30,245
velenje,Savinjska,1998-04-30,22
skale,Savinjska,1998-04-30,147
eis celje,Savinjska,1998-04-30,35
skale,Savinjska,1998-04-30,67
trbovlje,Zasavska,1998-04-30,50
hrastnik,Zasavska,1998-04-30,106
zagorje,Zasavska,1998-04-30,30
kovk,Zasavska,1998-04-30,289
dobovec,Zasavska,1998-04-30,184
kum,Zasavska,1998-04-30,34
ravenska vas,Zasavska,1998-04-30,233
