Postaja,Regija,Datum,SO2,PM10,NO2
graska gora,Koroška,1997-01-31,71.0,,
ljubljana b.,Osrednjeslovenska,1997-01-31,69.0,,
ljubljana f.,Osrednjeslovenska,1997-01-31,50.0,,31.0
vnajnarje,Osrednjeslovenska,1997-01-31,37.0,,11.0
maribor,Podravska,1997-01-31,50.0,,45.0
eis krsko,Posavska,1997-01-31,41.0,,
razbor,Posavska,1997-01-31,49.0,,15.0
celje,Savinjska,1997-01-31,72.0,,42.0
eis celje,Savinjska,1997-01-31,66.0,,50.0
skale,Savinjska,1997-01-31,,,
sostanj,Savinjska,1997-01-31,36.0,,
topolsica,Savinjska,1997-01-31,33.0,,
velenje,Savinjska,1997-01-31,40.0,,
veliki vrh,Savinjska,1997-01-31,80.0,,
zavodnje,Savinjska,1997-01-31,103.0,,15.0
dobovec,Zasavska,1997-01-31,196.0,,
hrastnik,Zasavska,1997-01-31,94.0,,
kovk,Zasavska,1997-01-31,173.0,,3.0
kum,Zasavska,1997-01-31,32.0,,
ravenska vas,Zasavska,1997-01-31,116.0,,
trbovlje,Zasavska,1997-01-31,106.0,,
zagorje,Zasavska,1997-01-31,67.0,,
graska gora,Koroška,1997-02-28,64.0,,
ljubljana b.,Osrednjeslovenska,1997-02-28,38.0,,
ljubljana f.,Osrednjeslovenska,1997-02-28,38.0,,52.0
vnajnarje,Osrednjeslovenska,1997-02-28,28.0,,9.0
maribor,Podravska,1997-02-28,46.0,,57.0
eis krsko,Posavska,1997-02-28,65.0,,
razbor,Posavska,1997-02-28,46.0,,9.0
celje,Savinjska,1997-02-28,41.0,,23.0
eis celje,Savinjska,1997-02-28,38.0,,53.0
skale,Savinjska,1997-02-28,,,
sostanj,Savinjska,1997-02-28,24.0,,
topolsica,Savinjska,1997-02-28,23.0,,
velenje,Savinjska,1997-02-28,14.0,,
veliki vrh,Savinjska,1997-02-28,66.0,,
zavodnje,Savinjska,1997-02-28,61.0,,9.0
dobovec,Zasavska,1997-02-28,61.0,,
hrastnik,Zasavska,1997-02-28,29.0,,
kovk,Zasavska,1997-02-28,122.0,,
kum,Zasavska,1997-02-28,24.0,,
ravenska vas,Zasavska,1997-02-28,49.0,,
trbovlje,Zasavska,1997-02-28,61.0,,
zagorje,Zasavska,1997-02-28,38.0,,
graska gora,Koroška,1997-03-31,27.0,,
ljubljana b.,Osrednjeslovenska,1997-03-31,41.0,,
ljubljana f.,Osrednjeslovenska,1997-03-31,34.0,,40.0
vnajnarje,Osrednjeslovenska,1997-03-31,22.0,,5.0
maribor,Podravska,1997-03-31,24.0,,40.0
eis krsko,Posavska,1997-03-31,88.0,,
razbor,Posavska,1997-03-31,34.0,,7.0
celje,Savinjska,1997-03-31,35.0,,26.0
eis celje,Savinjska,1997-03-31,30.0,,44.0
skale,Savinjska,1997-03-31,,,
sostanj,Savinjska,1997-03-31,18.0,,
topolsica,Savinjska,1997-03-31,23.0,,
velenje,Savinjska,1997-03-31,11.0,,
veliki vrh,Savinjska,1997-03-31,53.0,,
zavodnje,Savinjska,1997-03-31,37.0,,7.0
dobovec,Zasavska,1997-03-31,63.0,,
hrastnik,Zasavska,1997-03-31,28.0,,
kovk,Zasavska,1997-03-31,40.0,,0.0
kum,Zasavska,1997-03-31,23.0,,
ravenska vas,Zasavska,1997-03-31,91.0,,
trbovlje,Zasavska,1997-03-31,43.0,,28.0
zagorje,Zasavska,1997-03-31,42.0,,
graska gora,Koroška,1997-04-30,37.0,,
ljubljana b.,Osrednjeslovenska,1997-04-30,30.0,,
ljubljana f.,Osrednjeslovenska,1997-04-30,20.0,,31.0
vnajnarje,Osrednjeslovenska,1997-04-30,15.0,,4.0
maribor,Podravska,1997-04-30,20.0,,34.0
eis krsko,Posavska,1997-04-30,81.0,,
razbor,Posavska,1997-04-30,26.0,,6.0
celje,Savinjska,1997-04-30,24.0,,
eis celje,Savinjska,1997-04-30,25.0,,37.0
skale,Savinjska,1997-04-30,,,
sostanj,Savinjska,1997-04-30,34.0,,
topolsica,Savinjska,1997-04-30,22.0,,
velenje,Savinjska,1997-04-30,10.0,,
veliki vrh,Savinjska,1997-04-30,56.0,,
zavodnje,Savinjska,1997-04-30,31.0,,6.0
dobovec,Zasavska,1997-04-30,37.0,,
hrastnik,Zasavska,1997-04-30,22.0,,
kovk,Zasavska,1997-04-30,70.0,,0.0
kum,Zasavska,1997-04-30,31.0,,
ravenska vas,Zasavska,1997-04-30,87.0,,
trbovlje,Zasavska,1997-04-30,37.0,,27.0
zagorje,Zasavska,1997-04-30,37.0,,
graska gora,Koroška,1997-05-31,45.0,,
ljubljana b.,Osrednjeslovenska,1997-05-31,30.0,,
ljubljana f.,Osrednjeslovenska,1997-05-31,20.0,,35.0
vnajnarje,Osrednjeslovenska,1997-05-31,15.0,,4.0
maribor,Podravska,1997-05-31,15.0,,36.0
eis krsko,Posavska,1997-05-31,58.0,,
razbor,Posavska,1997-05-31,27.0,,6.0
celje,Savinjska,1997-05-31,16.0,,
eis celje,Savinjska,1997-05-31,18.0,,42.0
skale,Savinjska,1997-05-31,,,
sostanj,Savinjska,1997-05-31,46.0,,
topolsica,Savinjska,1997-05-31,16.0,,
velenje,Savinjska,1997-05-31,7.0,,
veliki vrh,Savinjska,1997-05-31,35.0,,
zavodnje,Savinjska,1997-05-31,26.0,,4.0
dobovec,Zasavska,1997-05-31,41.0,,
hrastnik,Zasavska,1997-05-31,19.0,,
kovk,Zasavska,1997-05-31,106.0,,0.0
kum,Zasavska,1997-05-31,20.0,,
ravenska vas,Zasavska,1997-05-31,62.0,,
trbovlje,Zasavska,1997-05-31,21.0,,26.0
zagorje,Zasavska,1997-05-31,25.0,,
graska gora,Koroška,1997-06-30,17.0,,
ljubljana b.,Osrednjeslovenska,1997-06-30,36.0,,
ljubljana f.,Osrednjeslovenska,1997-06-30,20.0,,31.0
vnajnarje,Osrednjeslovenska,1997-06-30,14.0,,3.0
maribor,Podravska,1997-06-30,9.0,,34.0
eis krsko,Posavska,1997-06-30,45.0,,
razbor,Posavska,1997-06-30,,,
celje,Savinjska,1997-06-30,7.0,,
eis celje,Savinjska,1997-06-30,18.0,,35.0
skale,Savinjska,1997-06-30,12.0,,7.0
sostanj,Savinjska,1997-06-30,33.0,,
topolsica,Savinjska,1997-06-30,9.0,,
velenje,Savinjska,1997-06-30,5.0,,
veliki vrh,Savinjska,1997-06-30,20.0,,
zavodnje,Savinjska,1997-06-30,14.0,,4.0
dobovec,Zasavska,1997-06-30,45.0,,
hrastnik,Zasavska,1997-06-30,18.0,,
kovk,Zasavska,1997-06-30,51.0,,2.0
kum,Zasavska,1997-06-30,12.0,,
ravenska vas,Zasavska,1997-06-30,80.0,,
trbovlje,Zasavska,1997-06-30,21.0,,26.0
zagorje,Zasavska,1997-06-30,27.0,,
graska gora,Koroška,1997-07-31,33.0,,
ljubljana b.,Osrednjeslovenska,1997-07-31,48.0,,
ljubljana f.,Osrednjeslovenska,1997-07-31,24.0,,30.0
vnajnarje,Osrednjeslovenska,1997-07-31,21.0,,4.0
maribor,Podravska,1997-07-31,9.0,,30.0
eis krsko,Posavska,1997-07-31,47.0,,
razbor,Posavska,1997-07-31,,,
celje,Savinjska,1997-07-31,13.0,,
eis celje,Savinjska,1997-07-31,17.0,,36.0
skale,Savinjska,1997-07-31,15.0,,5.0
sostanj,Savinjska,1997-07-31,28.0,,
topolsica,Savinjska,1997-07-31,11.0,,
velenje,Savinjska,1997-07-31,4.0,,
veliki vrh,Savinjska,1997-07-31,37.0,,
zavodnje,Savinjska,1997-07-31,21.0,,4.0
dobovec,Zasavska,1997-07-31,58.0,,
hrastnik,Zasavska,1997-07-31,13.0,,
kovk,Zasavska,1997-07-31,68.0,,6.0
kum,Zasavska,1997-07-31,31.0,,
ravenska vas,Zasavska,1997-07-31,51.0,,
trbovlje,Zasavska,1997-07-31,18.0,,26.0
zagorje,Zasavska,1997-07-31,9.0,,
graska gora,Koroška,1997-08-31,15.0,,
ljubljana b.,Osrednjeslovenska,1997-08-31,24.0,,
ljubljana f.,Osrednjeslovenska,1997-08-31,6.0,,
vnajnarje,Osrednjeslovenska,1997-08-31,10.0,,3.0
maribor,Podravska,1997-08-31,12.0,,31.0
eis krsko,Posavska,1997-08-31,14.0,,
razbor,Posavska,1997-08-31,,,
celje,Savinjska,1997-08-31,10.0,,
