Postaja,Leto,Mesec,SO2
ljubljana f.,1997,Jan,50.0
ljubljana b.,1997,Jan,69.0
maribor,1997,Jan,50.0
celje,1997,Jan,72.0
trbovlje,1997,Jan,106.0
hrastnik,1997,Jan,94.0
zagorje,1997,Jan,67.0
sostanj,1997,Jan,36.0
topolsica,1997,Jan,33.0
veliki vrh,1997,Jan,80.0
zavodnje,1997,Jan,103.0
velenje,1997,Jan,40.0
graska gora,1997,Jan,71.0
razbor,1997,Jan,49.0
skale,1997,Jan,
kovk,1997,Jan,173.0
dobovec,1997,Jan,196.0
kum,1997,Jan,32.0
ravenska vas,1997,Jan,116.0
vnajnarje,1997,Jan,37.0
eis celje,1997,Jan,66.0
eis krsko,1997,Jan,41.0
ljubljana f.,1997,Feb,38.0
ljubljana b.,1997,Feb,38.0
maribor,1997,Feb,46.0
celje,1997,Feb,41.0
trbovlje,1997,Feb,61.0
hrastnik,1997,Feb,29.0
zagorje,1997,Feb,38.0
sostanj,1997,Feb,24.0
topolsica,1997,Feb,23.0
veliki vrh,1997,Feb,66.0
zavodnje,1997,Feb,61.0
velenje,1997,Feb,14.0
graska gora,1997,Feb,64.0
razbor,1997,Feb,46.0
skale,1997,Feb,
kovk,1997,Feb,122.0
dobovec,1997,Feb,61.0
kum,1997,Feb,24.0
ravenska vas,1997,Feb,49.0
vnajnarje,1997,Feb,28.0
eis celje,1997,Feb,38.0
eis krsko,1997,Feb,65.0
ljubljana f.,1997,Mar,34.0
ljubljana b.,1997,Mar,41.0
maribor,1997,Mar,24.0
celje,1997,Mar,35.0
trbovlje,1997,Mar,43.0
hrastnik,1997,Mar,28.0
zagorje,1997,Mar,42.0
sostanj,1997,Mar,18.0
topolsica,1997,Mar,23.0
veliki vrh,1997,Mar,53.0
zavodnje,1997,Mar,37.0
velenje,1997,Mar,11.0
graska gora,1997,Mar,27.0
razbor,1997,Mar,34.0
skale,1997,Mar,
kovk,1997,Mar,40.0
dobovec,1997,Mar,63.0
kum,1997,Mar,23.0
ravenska vas,1997,Mar,91.0
vnajnarje,1997,Mar,22.0
eis celje,1997,Mar,30.0
eis krsko,1997,Mar,88.0
ljubljana f.,1997,Apr,20.0
ljubljana b.,1997,Apr,30.0
maribor,1997,Apr,20.0
celje,1997,Apr,24.0
trbovlje,1997,Apr,37.0
hrastnik,1997,Apr,22.0
zagorje,1997,Apr,37.0
sostanj,1997,Apr,34.0
topolsica,1997,Apr,22.0
veliki vrh,1997,Apr,56.0
zavodnje,1997,Apr,31.0
velenje,1997,Apr,10.0
graska gora,1997,Apr,37.0
razbor,1997,Apr,26.0
skale,1997,Apr,
kovk,1997,Apr,70.0
dobovec,1997,Apr,37.0
kum,1997,Apr,31.0
ravenska vas,1997,Apr,87.0
vnajnarje,1997,Apr,15.0
eis celje,1997,Apr,25.0
eis krsko,1997,Apr,81.0
ljubljana f.,1997,Maj,20.0
ljubljana b.,1997,Maj,30.0
maribor,1997,Maj,15.0
celje,1997,Maj,16.0
trbovlje,1997,Maj,21.0
hrastnik,1997,Maj,19.0
zagorje,1997,Maj,25.0
sostanj,1997,Maj,46.0
topolsica,1997,Maj,16.0
veliki vrh,1997,Maj,35.0
zavodnje,1997,Maj,26.0
velenje,1997,Maj,7.0
graska gora,1997,Maj,45.0
razbor,1997,Maj,27.0
skale,1997,Maj,
kovk,1997,Maj,106.0
dobovec,1997,Maj,41.0
kum,1997,Maj,20.0
ravenska vas,1997,Maj,62.0
vnajnarje,1997,Maj,15.0
eis celje,1997,Maj,18.0
eis krsko,1997,Maj,58.0
ljubljana f.,1997,Jun,20.0
ljubljana b.,1997,Jun,36.0
maribor,1997,Jun,9.0
celje,1997,Jun,7.0
trbovlje,1997,Jun,21.0
hrastnik,1997,Jun,18.0
zagorje,1997,Jun,27.0
sostanj,1997,Jun,33.0
topolsica,1997,Jun,9.0
veliki vrh,1997,Jun,20.0
zavodnje,1997,Jun,14.0
velenje,1997,Jun,5.0
graska gora,1997,Jun,17.0
razbor,1997,Jun,
skale,1997,Jun,12.0
kovk,1997,Jun,51.0
dobovec,1997,Jun,45.0
kum,1997,Jun,12.0
ravenska vas,1997,Jun,80.0
vnajnarje,1997,Jun,14.0
eis celje,1997,Jun,18.0
eis krsko,1997,Jun,45.0
ljubljana f.,1997,Jul,24.0
ljubljana b.,1997,Jul,48.0
maribor,1997,Jul,9.0
celje,1997,Jul,13.0
trbovlje,1997,Jul,18.0
hrastnik,1997,Jul,13.0
zagorje,1997,Jul,9.0
sostanj,1997,Jul,28.0
topolsica,1997,Jul,11.0
veliki vrh,1997,Jul,37.0
zavodnje,1997,Jul,21.0
velenje,1997,Jul,4.0
graska gora,1997,Jul,33.0
razbor,1997,Jul,
skale,1997,Jul,15.0
kovk,1997,Jul,68.0
dobovec,1997,Jul,58.0
kum,1997,Jul,31.0
ravenska vas,1997,Jul,51.0
vnajnarje,1997,Jul,21.0
eis celje,1997,Jul,17.0
eis krsko,1997,Jul,47.0
ljubljana f.,1997,Avg,6.0
ljubljana b.,1997,Avg,24.0
maribor,1997,Avg,12.0
celje,1997,Avg,10.0
trbovlje,1997,Avg,21.0
hrastnik,1997,Avg,10.0
zagorje,1997,Avg,26.0
sostanj,1997,Avg,19.0
topolsica,1997,Avg,13.0
veliki vrh,1997,Avg,46.0
zavodnje,1997,Avg,24.0
velenje,1997,Avg,3.0
graska gora,1997,Avg,15.0
razbor,1997,Avg,
skale,1997,Avg,7.0
kovk,1997,Avg,75.0
dobovec,1997,Avg,63.0
kum,1997,Avg,29.0
ravenska vas,1997,Avg,92.0
vnajnarje,1997,Avg,10.0
eis celje,1997,Avg,16.0
eis krsko,1997,Avg,14.0
ljubljana f.,1997,Sep,8.0
ljubljana b.,1997,Sep,15.0
maribor,1997,Sep,14.0
celje,1997,Sep,13.0
trbovlje,1997,Sep,24.0
hrastnik,1997,Sep,17.0
zagorje,1997,Sep,33.0
sostanj,1997,Sep,29.0
topolsica,1997,Sep,21.0
veliki vrh,1997,Sep,46.0
zavodnje,1997,Sep,41.0
velenje,1997,Sep,5.0
graska gora,1997,Sep,25.0
razbor,1997,Sep,
skale,1997,Sep,13.0
kovk,1997,Sep,40.0
dobovec,1997,Sep,30.0
kum,1997,Sep,10.0
ravenska vas,1997,Sep,108.0
vnajnarje,1997,Sep,10.0
eis celje,1997,Sep,15.0
eis krsko,1997,Sep,67.0
ljubljana f.,1997,Okt,19.0
ljubljana b.,1997,Okt,25.0
maribor,1997,Okt,22.0
celje,1997,Okt,27.0
trbovlje,1997,Okt,29.0
hrastnik,1997,Okt,18.0
zagorje,1997,Okt,24.0
sostanj,1997,Okt,33.0
topolsica,1997,Okt,17.0
veliki vrh,1997,Okt,43.0
zavodnje,1997,Okt,45.0
velenje,1997,Okt,7.0
graska gora,1997,Okt,44.0
razbor,1997,Okt,
skale,1997,Okt,19.0
kovk,1997,Okt,92.0
dobovec,1997,Okt,52.0
kum,1997,Okt,18.0
ravenska vas,1997,Okt,74.0
vnajnarje,1997,Okt,21.0
eis celje,1997,Okt,27.0
eis krsko,1997,Okt,28.0
ljubljana f.,1997,Nov,25.0
ljubljana b.,1997,Nov,23.0
maribor,1997,Nov,24.0
celje,1997,Nov,33.0
trbovlje,1997,Nov,43.0
hrastnik,1997,Nov,25.0
zagorje,1997,Nov,26.0
sostanj,1997,Nov,44.0
topolsica,1997,Nov,20.0
veliki vrh,1997,Nov,64.0
zavodnje,1997,Nov,63.0
velenje,1997,Nov,12.0
graska gora,1997,Nov,28.0
