Postaja,Leto,Mesec,SO2
ljubljana b.,2005,Jan,15.0
maribor,2005,Jan,30.0
celje,2005,Jan,30.0
trbovlje,2005,Jan,27.0
hrastnik,2005,Jan,43.0
zagorje,2005,Jan,158.0
murska s.-rakican,2005,Jan,19.0
nova gorica,2005,Jan,13.0
sostanj,2005,Jan,37.0
topolsica,2005,Jan,41.0
veliki vrh,2005,Jan,135.0
zavodnje,2005,Jan,97.0
velenje,2005,Jan,27.0
graska gora,2005,Jan,54.0
pesje,2005,Jan,26.0
skale,2005,Jan,25.0
kovk,2005,Jan,193.0
dobovec,2005,Jan,332.0
kum,2005,Jan,72.0
ravenska vas,2005,Jan,470.0
vnajnarje,2005,Jan,22.0
eis celje,2005,Jan,14.0
eis krsko,2005,Jan,192.0
eis teb,2005,Jan,20.0
ljubljana b.,2005,Feb,33.0
maribor,2005,Feb,31.0
celje,2005,Feb,44.0
trbovlje,2005,Feb,80.0
hrastnik,2005,Feb,60.0
zagorje,2005,Feb,79.0
murska s.-rakican,2005,Feb,33.0
nova gorica,2005,Feb,18.0
sostanj,2005,Feb,37.0
topolsica,2005,Feb,26.0
veliki vrh,2005,Feb,95.0
zavodnje,2005,Feb,66.0
velenje,2005,Feb,15.0
graska gora,2005,Feb,52.0
pesje,2005,Feb,30.0
skale,2005,Feb,37.0
kovk,2005,Feb,200.0
dobovec,2005,Feb,169.0
kum,2005,Feb,57.0
ravenska vas,2005,Feb,422.0
vnajnarje,2005,Feb,57.0
eis celje,2005,Feb,28.0
eis krsko,2005,Feb,76.0
eis teb,2005,Feb,35.0
ljubljana b.,2005,Mar,31.0
maribor,2005,Mar,21.0
celje,2005,Mar,23.0
trbovlje,2005,Mar,75.0
hrastnik,2005,Mar,55.0
zagorje,2005,Mar,97.0
murska s.-rakican,2005,Mar,20.0
nova gorica,2005,Mar,18.0
sostanj,2005,Mar,85.0
topolsica,2005,Mar,29.0
veliki vrh,2005,Mar,60.0
zavodnje,2005,Mar,34.0
velenje,2005,Mar,16.0
graska gora,2005,Mar,43.0
pesje,2005,Mar,24.0
skale,2005,Mar,64.0
kovk,2005,Mar,192.0
dobovec,2005,Mar,157.0
kum,2005,Mar,97.0
ravenska vas,2005,Mar,364.0
vnajnarje,2005,Mar,38.0
eis celje,2005,Mar,16.0
eis krsko,2005,Mar,276.0
eis teb,2005,Mar,40.0
ljubljana b.,2005,Apr,11.0
maribor,2005,Apr,13.0
celje,2005,Apr,13.0
trbovlje,2005,Apr,56.0
hrastnik,2005,Apr,68.0
zagorje,2005,Apr,34.0
murska s.-rakican,2005,Apr,14.0
nova gorica,2005,Apr,18.0
sostanj,2005,Apr,76.0
topolsica,2005,Apr,11.0
veliki vrh,2005,Apr,78.0
zavodnje,2005,Apr,54.0
velenje,2005,Apr,9.0
graska gora,2005,Apr,29.0
pesje,2005,Apr,18.0
skale,2005,Apr,19.0
kovk,2005,Apr,133.0
dobovec,2005,Apr,43.0
kum,2005,Apr,6.0
ravenska vas,2005,Apr,247.0
vnajnarje,2005,Apr,31.0
eis celje,2005,Apr,2.0
eis krsko,2005,Apr,124.0
eis teb,2005,Apr,27.0
ljubljana b.,2005,Maj,4.0
maribor,2005,Maj,9.0
celje,2005,Maj,12.0
trbovlje,2005,Maj,25.0
hrastnik,2005,Maj,18.0
zagorje,2005,Maj,11.0
murska s.-rakican,2005,Maj,7.0
nova gorica,2005,Maj,22.0
sostanj,2005,Maj,53.0
topolsica,2005,Maj,13.0
