Postaja,Leto,Mesec,NO2
ljubljana f.,1997,Jan,31.0
maribor,1997,Jan,45.0
celje,1997,Jan,42.0
trbovlje,1997,Jan,
zavodnje,1997,Jan,15.0
razbor,1997,Jan,15.0
skale,1997,Jan,
kovk,1997,Jan,3.0
vnajnarje,1997,Jan,11.0
eis celje,1997,Jan,50.0
ljubljana f.,1997,Feb,52.0
maribor,1997,Feb,57.0
celje,1997,Feb,23.0
trbovlje,1997,Feb,
zavodnje,1997,Feb,9.0
razbor,1997,Feb,9.0
skale,1997,Feb,
kovk,1997,Feb,
vnajnarje,1997,Feb,9.0
eis celje,1997,Feb,53.0
ljubljana f.,1997,Mar,40.0
maribor,1997,Mar,40.0
celje,1997,Mar,26.0
trbovlje,1997,Mar,28.0
zavodnje,1997,Mar,7.0
razbor,1997,Mar,7.0
skale,1997,Mar,
kovk,1997,Mar,0.0
vnajnarje,1997,Mar,5.0
eis celje,1997,Mar,44.0
ljubljana f.,1997,Apr,31.0
maribor,1997,Apr,34.0
celje,1997,Apr,
trbovlje,1997,Apr,27.0
zavodnje,1997,Apr,6.0
razbor,1997,Apr,6.0
skale,1997,Apr,
kovk,1997,Apr,0.0
vnajnarje,1997,Apr,4.0
eis celje,1997,Apr,37.0
ljubljana f.,1997,Maj,35.0
maribor,1997,Maj,36.0
celje,1997,Maj,
trbovlje,1997,Maj,26.0
zavodnje,1997,Maj,4.0
razbor,1997,Maj,6.0
skale,1997,Maj,
kovk,1997,Maj,0.0
vnajnarje,1997,Maj,4.0
eis celje,1997,Maj,42.0
ljubljana f.,1997,Jun,31.0
maribor,1997,Jun,34.0
celje,1997,Jun,
trbovlje,1997,Jun,26.0
zavodnje,1997,Jun,4.0
razbor,1997,Jun,
skale,1997,Jun,7.0
kovk,1997,Jun,2.0
vnajnarje,1997,Jun,3.0
eis celje,1997,Jun,35.0
ljubljana f.,1997,Jul,30.0
maribor,1997,Jul,30.0
celje,1997,Jul,
trbovlje,1997,Jul,26.0
zavodnje,1997,Jul,4.0
razbor,1997,Jul,
skale,1997,Jul,5.0
kovk,1997,Jul,6.0
vnajnarje,1997,Jul,4.0
eis celje,1997,Jul,36.0
ljubljana f.,1997,Avg,
maribor,1997,Avg,31.0
celje,1997,Avg,
trbovlje,1997,Avg,27.0
zavodnje,1997,Avg,4.0
razbor,1997,Avg,
skale,1997,Avg,4.0
kovk,1997,Avg,4.0
vnajnarje,1997,Avg,3.0
eis celje,1997,Avg,38.0
ljubljana f.,1997,Sep,
maribor,1997,Sep,35.0
celje,1997,Sep,
trbovlje,1997,Sep,32.0
zavodnje,1997,Sep,6.0
razbor,1997,Sep,
skale,1997,Sep,6.0
kovk,1997,Sep,3.0
vnajnarje,1997,Sep,2.0
eis celje,1997,Sep,42.0
ljubljana f.,1997,Okt,
maribor,1997,Okt,42.0
celje,1997,Okt,
trbovlje,1997,Okt,28.0
zavodnje,1997,Okt,8.0
razbor,1997,Okt,
skale,1997,Okt,8.0
kovk,1997,Okt,6.0
vnajnarje,1997,Okt,3.0
eis celje,1997,Okt,45.0
ljubljana f.,1997,Nov,38.0
maribor,1997,Nov,41.0
celje,1997,Nov,
trbovlje,1997,Nov,34.0
zavodnje,1997,Nov,8.0
razbor,1997,Nov,
