Postaja,Leto,Mesec,NOX
ljubljana f.,1997,Jan,65.0
maribor,1997,Jan,84.0
celje,1997,Jan,70.0
trbovlje,1997,Jan,
zavodnje,1997,Jan,23.0
razbor,1997,Jan,19.0
skale,1997,Jan,
kovk,1997,Jan,10.0
vnajnarje,1997,Jan,12.0
ljubljana f.,1997,Feb,116.0
maribor,1997,Feb,104.0
celje,1997,Feb,59.0
trbovlje,1997,Feb,51.0
zavodnje,1997,Feb,11.0
razbor,1997,Feb,9.0
skale,1997,Feb,
kovk,1997,Feb,
vnajnarje,1997,Feb,9.0
ljubljana f.,1997,Mar,64.0
maribor,1997,Mar,65.0
celje,1997,Mar,51.0
trbovlje,1997,Mar,54.0
zavodnje,1997,Mar,8.0
razbor,1997,Mar,9.0
skale,1997,Mar,
kovk,1997,Mar,1.0
vnajnarje,1997,Mar,5.0
ljubljana f.,1997,Apr,45.0
maribor,1997,Apr,46.0
celje,1997,Apr,
trbovlje,1997,Apr,50.0
zavodnje,1997,Apr,7.0
razbor,1997,Apr,7.0
skale,1997,Apr,
kovk,1997,Apr,0.0
vnajnarje,1997,Apr,4.0
ljubljana f.,1997,Maj,54.0
maribor,1997,Maj,47.0
celje,1997,Maj,
trbovlje,1997,Maj,42.0
zavodnje,1997,Maj,6.0
razbor,1997,Maj,6.0
skale,1997,Maj,
kovk,1997,Maj,1.0
vnajnarje,1997,Maj,3.0
ljubljana f.,1997,Jun,49.0
maribor,1997,Jun,47.0
celje,1997,Jun,
trbovlje,1997,Jun,44.0
zavodnje,1997,Jun,5.0
razbor,1997,Jun,
skale,1997,Jun,8.0
kovk,1997,Jun,3.0
vnajnarje,1997,Jun,4.0
ljubljana f.,1997,Jul,48.0
maribor,1997,Jul,41.0
celje,1997,Jul,
trbovlje,1997,Jul,44.0
zavodnje,1997,Jul,4.0
razbor,1997,Jul,
skale,1997,Jul,5.0
kovk,1997,Jul,7.0
vnajnarje,1997,Jul,3.0
ljubljana f.,1997,Avg,
maribor,1997,Avg,39.0
celje,1997,Avg,
trbovlje,1997,Avg,46.0
zavodnje,1997,Avg,5.0
razbor,1997,Avg,
skale,1997,Avg,5.0
kovk,1997,Avg,4.0
vnajnarje,1997,Avg,3.0
ljubljana f.,1997,Sep,
maribor,1997,Sep,49.0
celje,1997,Sep,
trbovlje,1997,Sep,56.0
zavodnje,1997,Sep,7.0
razbor,1997,Sep,
skale,1997,Sep,7.0
kovk,1997,Sep,3.0
vnajnarje,1997,Sep,2.0
ljubljana f.,1997,Okt,
maribor,1997,Okt,77.0
celje,1997,Okt,
trbovlje,1997,Okt,59.0
zavodnje,1997,Okt,10.0
razbor,1997,Okt,
skale,1997,Okt,9.0
kovk,1997,Okt,7.0
vnajnarje,1997,Okt,3.0
ljubljana f.,1997,Nov,84.0
maribor,1997,Nov,87.0
celje,1997,Nov,
trbovlje,1997,Nov,79.0
zavodnje,1997,Nov,10.0
razbor,1997,Nov,
skale,1997,Nov,12.0
kovk,1997,Nov,14.0
vnajnarje,1997,Nov,3.0
ljubljana f.,1997,Dec,100.0
maribor,1997,Dec,87.0
celje,1997,Dec,
trbovlje,1997,Dec,78.0
zavodnje,1997,Dec,9.0
razbor,1997,Dec,
skale,1997,Dec,14.0
kovk,1997,Dec,18.0
vnajnarje,1997,Dec,4.0
ljubljana f.,1998,Jan,90.0
maribor,1998,Jan,84.0
celje,1998,Jan,
trbovlje,1998,Jan,70.0
zavodnje,1998,Jan,11.0
skale,1998,Jan,11.0
kovk,1998,Jan,10.0
vnajnarje,1998,Jan,1.0
skale,1998,Jan,130.0
ljubljana f.,1998,Feb,136.0
maribor,1998,Feb,82.0
celje,1998,Feb,
trbovlje,1998,Feb,87.0
zavodnje,1998,Feb,10.0
skale,1998,Feb,11.0
kovk,1998,Feb,9.0
vnajnarje,1998,Feb,1.0
skale,1998,Feb,199.0
ljubljana f.,1998,Mar,86.0
maribor,1998,Mar,68.0
celje,1998,Mar,51.0
trbovlje,1998,Mar,54.0
zavodnje,1998,Mar,7.0
skale,1998,Mar,11.0
kovk,1998,Mar,9.0
vnajnarje,1998,Mar,1.0
skale,1998,Mar,88.0
ljubljana f.,1998,Apr,41.0
maribor,1998,Apr,79.0
celje,1998,Apr,33.0
trbovlje,1998,Apr,44.0
zavodnje,1998,Apr,5.0
skale,1998,Apr,9.0
kovk,1998,Apr,8.0
vnajnarje,1998,Apr,0.0
skale,1998,Apr,81.0
ljubljana f.,1998,Maj,
maribor,1998,Maj,52.0
celje,1998,Maj,27.0
trbovlje,1998,Maj,48.0
zavodnje,1998,Maj,5.0
skale,1998,Maj,6.0
kovk,1998,Maj,3.0
vnajnarje,1998,Maj,0.0
skale,1998,Maj,76.0
ljubljana f.,1998,Jun,35.0
maribor,1998,Jun,47.0
celje,1998,Jun,21.0
trbovlje,1998,Jun,37.0
zavodnje,1998,Jun,6.0
skale,1998,Jun,8.0
kovk,1998,Jun,9.0
vnajnarje,1998,Jun,2.0
skale,1998,Jun,65.0
ljubljana f.,1998,Jul,40.0
maribor,1998,Jul,43.0
celje,1998,Jul,26.0
trbovlje,1998,Jul,36.0
zavodnje,1998,Jul,5.0
skale,1998,Jul,6.0
kovk,1998,Jul,6.0
vnajnarje,1998,Jul,2.0
skale,1998,Jul,30.0
ljubljana f.,1998,Avg,40.0
maribor,1998,Avg,35.0
celje,1998,Avg,
trbovlje,1998,Avg,36.0
zavodnje,1998,Avg,6.0
skale,1998,Avg,4.0
kovk,1998,Avg,4.0
vnajnarje,1998,Avg,1.0
skale,1998,Avg,30.0
ljubljana f.,1998,Sep,52.0
maribor,1998,Sep,56.0
celje,1998,Sep,32.0
trbovlje,1998,Sep,45.0
zavodnje,1998,Sep,6.0
skale,1998,Sep,6.0
kovk,1998,Sep,5.0
vnajnarje,1998,Sep,4.0
skale,1998,Sep,43.0
ljubljana f.,1998,Okt,84.0
maribor,1998,Okt,66.0
celje,1998,Okt,44.0
trbovlje,1998,Okt,49.0
zavodnje,1998,Okt,9.0
skale,1998,Okt,9.0
kovk,1998,Okt,6.0
vnajnarje,1998,Okt,6.0
skale,1998,Okt,68.0
ljubljana f.,1998,Nov,98.0
maribor,1998,Nov,65.0
celje,1998,Nov,70.0
trbovlje,1998,Nov,64.0
zavodnje,1998,Nov,8.0
skale,1998,Nov,9.0
kovk,1998,Nov,7.0
vnajnarje,1998,Nov,5.0
skale,1998,Nov,81.0
ljubljana f.,1998,Dec,120.0
maribor,1998,Dec,88.0
celje,1998,Dec,116.0
trbovlje,1998,Dec,81.0
zavodnje,1998,Dec,16.0
skale,1998,Dec,17.0
kovk,1998,Dec,12.0
vnajnarje,1998,Dec,12.0
skale,1998,Dec,198.0
ljubljana f.,1999,Jan,140.0
maribor,1999,Jan,79.0
celje,1999,Jan,64.0
trbovlje,1999,Jan,56.0
zavodnje,1999,Jan,18.0
skale,1999,Jan,17.0
kovk,1999,Jan,24.0
vnajnarje,1999,Jan,16.0
ljubljana f.,1999,Feb,117.0
maribor,1999,Feb,90.0
celje,1999,Feb,76.0
trbovlje,1999,Feb,60.0
zavodnje,1999,Feb,10.0
skale,1999,Feb,11.0
kovk,1999,Feb,16.0
vnajnarje,1999,Feb,9.0
ljubljana f.,1999,Mar,76.0
maribor,1999,Mar,69.0
celje,1999,Mar,39.0
trbovlje,1999,Mar,47.0
zavodnje,1999,Mar,8.0
skale,1999,Mar,11.0
kovk,1999,Mar,10.0
vnajnarje,1999,Mar,5.0
ljubljana f.,1999,Apr,55.0
maribor,1999,Apr,52.0
celje,1999,Apr,35.0
trbovlje,1999,Apr,42.0
zavodnje,1999,Apr,5.0
skale,1999,Apr,8.0
kovk,1999,Apr,10.0
vnajnarje,1999,Apr,4.0
ljubljana f.,1999,Maj,54.0
maribor,1999,Maj,66.0
celje,1999,Maj,28.0
trbovlje,1999,Maj,38.0
zavodnje,1999,Maj,5.0
skale,1999,Maj,6.0
kovk,1999,Maj,6.0
vnajnarje,1999,Maj,3.0
ljubljana f.,1999,Jun,50.0
maribor,1999,Jun,49.0
celje,1999,Jun,23.0
trbovlje,1999,Jun,41.0
zavodnje,1999,Jun,3.0
skale,1999,Jun,4.0
kovk,1999,Jun,
vnajnarje,1999,Jun,3.0
ljubljana f.,1999,Jul,47.0
maribor,1999,Jul,37.0
celje,1999,Jul,26.0
trbovlje,1999,Jul,35.0
zavodnje,1999,Jul,0.0
skale,1999,Jul,4.0
kovk,1999,Jul,13.0
vnajnarje,1999,Jul,2.0
ljubljana f.,1999,Avg,66.0
maribor,1999,Avg,
celje,1999,Avg,24.0
trbovlje,1999,Avg,30.0
zavodnje,1999,Avg,0.0
skale,1999,Avg,4.0
kovk,1999,Avg,13.0
vnajnarje,1999,Avg,2.0
ljubljana f.,1999,Sep,75.0
maribor,1999,Sep,
celje,1999,Sep,36.0
trbovlje,1999,Sep,39.0
zavodnje,1999,Sep,2.0
skale,1999,Sep,6.0
kovk,1999,Sep,10.0
vnajnarje,1999,Sep,3.0
ljubljana f.,1999,Okt,87.0
maribor,1999,Okt,
celje,1999,Okt,45.0
trbovlje,1999,Okt,52.0
zavodnje,1999,Okt,5.0
skale,1999,Okt,7.0
kovk,1999,Okt,9.0
vnajnarje,1999,Okt,4.0
ljubljana f.,1999,Nov,102.0
maribor,1999,Nov,
celje,1999,Nov,86.0
trbovlje,1999,Nov,63.0
zavodnje,1999,Nov,11.0
skale,1999,Nov,14.0
kovk,1999,Nov,13.0
vnajnarje,1999,Nov,8.0
ljubljana f.,1999,Dec,123.0
maribor,1999,Dec,
celje,1999,Dec,98.0
trbovlje,1999,Dec,69.0
zavodnje,1999,Dec,14.0
skale,1999,Dec,17.0
kovk,1999,Dec,13.0
vnajnarje,1999,Dec,9.0
ljubljana f.,2000,Jan,119.0
maribor,2000,Jan,129.0
celje,2000,Jan,116.0
trbovlje,2000,Jan,83.0
zavodnje,2000,Jan,18.0
skale,2000,Jan,19.0
kovk,2000,Jan,12.0
vnajnarje,2000,Jan,8.0
ljubljana f.,2000,Feb,113.0
maribor,2000,Feb,84.0
celje,2000,Feb,77.0
trbovlje,2000,Feb,70.0
zavodnje,2000,Feb,11.0
skale,2000,Feb,14.0
kovk,2000,Feb,10.0
vnajnarje,2000,Feb,6.0
ljubljana f.,2000,Mar,51.0
maribor,2000,Mar,82.0
celje,2000,Mar,38.0
trbovlje,2000,Mar,50.0
zavodnje,2000,Mar,11.0
skale,2000,Mar,13.0
kovk,2000,Mar,13.0
vnajnarje,2000,Mar,3.0
ljubljana f.,2000,Apr,85.0
maribor,2000,Apr,59.0
celje,2000,Apr,26.0
trbovlje,2000,Apr,39.0
zavodnje,2000,Apr,5.0
skale,2000,Apr,8.0
kovk,2000,Apr,8.0
vnajnarje,2000,Apr,3.0
ljubljana f.,2000,Maj,38.0
maribor,2000,Maj,60.0
celje,2000,Maj,24.0
trbovlje,2000,Maj,36.0
zavodnje,2000,Maj,9.0
skale,2000,Maj,8.0
kovk,2000,Maj,7.0
vnajnarje,2000,Maj,2.0
