Postaja,Leto,PM10 - Dnevnih presežkov
ljubljana bezigrad,2005,71.0
maribor,2005,103.0
celje,2005,97.0
trbovlje,2005,160.0
zagorje,2005,150.0
nova gorica,2005,43.0
murska s.-rakican,2005,67.0
iskrba,2005,5.0
pesje,2005,23.0
skale,2005,15.0
prapretno,2005,15.0
mo maribor,2005,111.0
eis krsko,2005,89.0
ljubljana bezigrad,2006,50.0
maribor,2006,117.0
celje,2006,62.0
trbovlje,2006,92.0
zagorje,2006,110.0
nova gorica,2006,50.0
murska s.-rakican,2006,58.0
koper,2006,48.0
iskrba,2006,5.0
pesje,2006,24.0
skale,2006,19.0
prapretno,2006,33.0
oms lj. (vnajnarje),2006,20.0
mo maribor,2006,132.0
eis celje,2006,92.0
ljubljana bezigrad,2007,48.0
maribor,2007,92.0
celje,2007,51.0
trbovlje,2007,83.0
zagorje,2007,100.0
murska s.-rakican,2007,37.0
nova gorica,2007,40.0
koper,2007,19.0
pesje,2007,14.0
skale,2007,11.0
prapretno,2007,36.0
oms ljubljana (vnajnarje),2007,10.0
mo maribor,2007,94.0
eis celje,2007,67.0
eis anhovo (morsko),2007,18.0
eis anhovo (gor.polje),2007,16.0
ljubljana bezigrad,2008,37.0
maribor,2008,54.0
celje,2008,37.0
trbovlje,2008,73.0
zagorje,2008,107.0
murska s.-rakican,2008,42.0
nova gorica,2008,35.0
koper,2008,12.0
pesje,2008,9.0
skale,2008,12.0
prapretno,2008,25.0
oms ljubljana figovec,2008,101.0
mo maribor,2008,52.0
eis anhovo (morsko),2008,16.0
eis anhovo (gor.polje),2008,24.0
ljubljana bezigrad,2009,30.0
ljubljana biotehniska f.,2009,25.0
maribor center,2009,35.0
celje,2009,42.0
trbovlje,2009,48.0
zagorje,2009,56.0
murska s.-rakican,2009,31.0
nova gorica,2009,24.0
koper,2009,2.0
iskrba,2009,5.0
pesje,2009,12.0
skale,2009,13.0
prapretno,2009,20.0
oms ljubljana center,2009,113.0
te-to ljubljana (vnajnarje),2009,7.0
mo maribor,2009,24.0
eis anhovo (morsko),2009,14.0
eis anhovo (gor.polje),2009,16.0
ljubljana bezigrad,2010,43.0
ljubljana biotehniska f.,2010,32.0
maribor center,2010,47.0
kranj,2010,37.0
novo mesto,2010,60.0
celje,2010,58.0
trbovlje,2010,64.0
hrastnik,2010,30.0
zagorje,2010,68.0
murska s.-rakican,2010,52.0
nova gorica,2010,27.0
koper,2010,15.0
zerjav,2010,29.0
iskrba,2010,5.0
pesje,2010,10.0
skale,2010,12.0
prapretno,2010,29.0
oms ljubljana center,2010,74.0
te-to ljubljana (vnajnarje),2010,2.0
mo maribor-tabor,2010,38.0
eis anhovo (morsko),2010,5.0
eis anhovo (gor.polje),2010,13.0
ljubljana bezigrad,2011,63.0
ljubljana biotehniska f.,2011,51.0
maribor center,2011,64.0
