Postaja,Leto,SO2 - Urnih presežkov,SO2 - Dnevnih presežkov
trbovlje,2005,17,1
hrastnik,2005,12,0
zagorje,2005,17,1
sostanj,2005,22,0
veliki vrh,2005,56,4
zavodnje,2005,9,1
graska gora,2005,2,0
kovk,2005,94,21
dobovec,2005,129,13
kum,2005,12,0
ravenska vas,2005,205,35
eis krsko,2005,72,17
eis teb (sv.mohor),2005,1,0
trbovlje,2006,1,0
sostanj,2006,12,1
veliki vrh,2006,28,0
zavodnje,2006,1,0
kovk,2006,3,0
dobovec,2006,3,1
ravenska vas,2006,1,0
eis krsko,2006,44,4
eis teb (sv.mohor),2006,1,0
sostanj,2007,11,0
veliki vrh,2007,9,0
graska gora,2007,2,0
kovk,2007,1,0
dobovec,2007,3,1
zagorje,2008,2,0
sostanj,2008,1,0
veliki vrh,2008,6,0
ravenska vas,2008,1,0
zavodnje,2009,2,0
kovk,2009,1,0
dobovec,2009,7,0
ravenska vas,2009,1,0
sostanj,2010,1,0
ravenska vas,2010,1,0
veliki vrh,2011,3,0
zavodnje,2011,1,0
dobovec,2011,2,0
ravenska vas,2011,3,0
sostanj,2012,2,0
veliki vrh,2012,4,0
kovk,2012,3,0
lokovica - veliki vrh,2013,1,0
zavodnje,2013,1,0
prapretno,2013,2,0
amp gaji,2014,1,0
zavodnje,2015,1,0
skale,2023,1,0
