Postaja,Regija,Leto,Mesec,NO2
ljubljana f.,Osrednjeslovenska,1997,Jan,31.0
maribor,Podravska,1997,Jan,45.0
celje,Savinjska,1997,Jan,42.0
trbovlje,Zasavska,1997,Jan,
zavodnje,Savinjska,1997,Jan,15.0
razbor,Posavska,1997,Jan,15.0
skale,Savinjska,1997,Jan,
kovk,Zasavska,1997,Jan,3.0
vnajnarje,Osrednjeslovenska,1997,Jan,11.0
eis celje,Savinjska,1997,Jan,50.0
ljubljana f.,Osrednjeslovenska,1997,Feb,52.0
maribor,Podravska,1997,Feb,57.0
celje,Savinjska,1997,Feb,23.0
trbovlje,Zasavska,1997,Feb,
zavodnje,Savinjska,1997,Feb,9.0
razbor,Posavska,1997,Feb,9.0
skale,Savinjska,1997,Feb,
kovk,Zasavska,1997,Feb,
vnajnarje,Osrednjeslovenska,1997,Feb,9.0
eis celje,Savinjska,1997,Feb,53.0
ljubljana f.,Osrednjeslovenska,1997,Mar,40.0
maribor,Podravska,1997,Mar,40.0
celje,Savinjska,1997,Mar,26.0
trbovlje,Zasavska,1997,Mar,28.0
zavodnje,Savinjska,1997,Mar,7.0
razbor,Posavska,1997,Mar,7.0
skale,Savinjska,1997,Mar,
kovk,Zasavska,1997,Mar,0.0
vnajnarje,Osrednjeslovenska,1997,Mar,5.0
eis celje,Savinjska,1997,Mar,44.0
ljubljana f.,Osrednjeslovenska,1997,Apr,31.0
maribor,Podravska,1997,Apr,34.0
celje,Savinjska,1997,Apr,
trbovlje,Zasavska,1997,Apr,27.0
zavodnje,Savinjska,1997,Apr,6.0
razbor,Posavska,1997,Apr,6.0
skale,Savinjska,1997,Apr,
kovk,Zasavska,1997,Apr,0.0
vnajnarje,Osrednjeslovenska,1997,Apr,4.0
eis celje,Savinjska,1997,Apr,37.0
ljubljana f.,Osrednjeslovenska,1997,Maj,35.0
maribor,Podravska,1997,Maj,36.0
celje,Savinjska,1997,Maj,
trbovlje,Zasavska,1997,Maj,26.0
zavodnje,Savinjska,1997,Maj,4.0
razbor,Posavska,1997,Maj,6.0
skale,Savinjska,1997,Maj,
kovk,Zasavska,1997,Maj,0.0
vnajnarje,Osrednjeslovenska,1997,Maj,4.0
eis celje,Savinjska,1997,Maj,42.0
ljubljana f.,Osrednjeslovenska,1997,Jun,31.0
maribor,Podravska,1997,Jun,34.0
celje,Savinjska,1997,Jun,
trbovlje,Zasavska,1997,Jun,26.0
zavodnje,Savinjska,1997,Jun,4.0
razbor,Posavska,1997,Jun,
skale,Savinjska,1997,Jun,7.0
kovk,Zasavska,1997,Jun,2.0
vnajnarje,Osrednjeslovenska,1997,Jun,3.0
eis celje,Savinjska,1997,Jun,35.0
ljubljana f.,Osrednjeslovenska,1997,Jul,30.0
maribor,Podravska,1997,Jul,30.0
celje,Savinjska,1997,Jul,
trbovlje,Zasavska,1997,Jul,26.0
zavodnje,Savinjska,1997,Jul,4.0
razbor,Posavska,1997,Jul,
skale,Savinjska,1997,Jul,5.0
kovk,Zasavska,1997,Jul,6.0
vnajnarje,Osrednjeslovenska,1997,Jul,4.0
eis celje,Savinjska,1997,Jul,36.0
ljubljana f.,Osrednjeslovenska,1997,Avg,
maribor,Podravska,1997,Avg,31.0
celje,Savinjska,1997,Avg,
trbovlje,Zasavska,1997,Avg,27.0
zavodnje,Savinjska,1997,Avg,4.0
razbor,Posavska,1997,Avg,
skale,Savinjska,1997,Avg,4.0
kovk,Zasavska,1997,Avg,4.0
vnajnarje,Osrednjeslovenska,1997,Avg,3.0
eis celje,Savinjska,1997,Avg,38.0
ljubljana f.,Osrednjeslovenska,1997,Sep,
maribor,Podravska,1997,Sep,35.0
celje,Savinjska,1997,Sep,
trbovlje,Zasavska,1997,Sep,32.0
zavodnje,Savinjska,1997,Sep,6.0
razbor,Posavska,1997,Sep,
skale,Savinjska,1997,Sep,6.0
kovk,Zasavska,1997,Sep,3.0
vnajnarje,Osrednjeslovenska,1997,Sep,2.0
eis celje,Savinjska,1997,Sep,42.0
ljubljana f.,Osrednjeslovenska,1997,Okt,
maribor,Podravska,1997,Okt,42.0
celje,Savinjska,1997,Okt,
trbovlje,Zasavska,1997,Okt,28.0
zavodnje,Savinjska,1997,Okt,8.0
razbor,Posavska,1997,Okt,
skale,Savinjska,1997,Okt,8.0
kovk,Zasavska,1997,Okt,6.0
vnajnarje,Osrednjeslovenska,1997,Okt,3.0
eis celje,Savinjska,1997,Okt,45.0
ljubljana f.,Osrednjeslovenska,1997,Nov,38.0
maribor,Podravska,1997,Nov,41.0
celje,Savinjska,1997,Nov,
trbovlje,Zasavska,1997,Nov,34.0
zavodnje,Savinjska,1997,Nov,8.0
razbor,Posavska,1997,Nov,
skale,Savinjska,1997,Nov,10.0
kovk,Zasavska,1997,Nov,11.0
vnajnarje,Osrednjeslovenska,1997,Nov,1.0
eis celje,Savinjska,1997,Nov,
ljubljana f.,Osrednjeslovenska,1997,Dec,43.0
maribor,Podravska,1997,Dec,42.0
celje,Savinjska,1997,Dec,
trbovlje,Zasavska,1997,Dec,32.0
zavodnje,Savinjska,1997,Dec,7.0
razbor,Posavska,1997,Dec,
skale,Savinjska,1997,Dec,11.0
kovk,Zasavska,1997,Dec,11.0
vnajnarje,Osrednjeslovenska,1997,Dec,1.0
eis celje,Savinjska,1997,Dec,
ljubljana f.,Osrednjeslovenska,1998,Jan,44.0
maribor,Podravska,1998,Jan,43.0
celje,Savinjska,1998,Jan,
trbovlje,Zasavska,1998,Jan,32.0
zavodnje,Savinjska,1998,Jan,9.0
skale,Savinjska,1998,Jan,10.0
kovk,Zasavska,1998,Jan,9.0
vnajnarje,Osrednjeslovenska,1998,Jan,1.0
eis celje,Savinjska,1998,Jan,
skale,Savinjska,1998,Jan,51.0
ljubljana f.,Osrednjeslovenska,1998,Feb,62.0
maribor,Podravska,1998,Feb,49.0
celje,Savinjska,1998,Feb,
trbovlje,Zasavska,1998,Feb,41.0
zavodnje,Savinjska,1998,Feb,8.0
skale,Savinjska,1998,Feb,10.0
kovk,Zasavska,1998,Feb,9.0
vnajnarje,Osrednjeslovenska,1998,Feb,1.0
eis celje,Savinjska,1998,Feb,65.0
skale,Savinjska,1998,Feb,77.0
ljubljana f.,Osrednjeslovenska,1998,Mar,61.0
maribor,Podravska,1998,Mar,45.0
celje,Savinjska,1998,Mar,37.0
trbovlje,Zasavska,1998,Mar,33.0
zavodnje,Savinjska,1998,Mar,6.0
skale,Savinjska,1998,Mar,10.0
kovk,Zasavska,1998,Mar,8.0
vnajnarje,Osrednjeslovenska,1998,Mar,1.0
eis celje,Savinjska,1998,Mar,55.0
skale,Savinjska,1998,Mar,48.0
ljubljana f.,Osrednjeslovenska,1998,Apr,31.0
maribor,Podravska,1998,Apr,50.0
celje,Savinjska,1998,Apr,26.0
trbovlje,Zasavska,1998,Apr,29.0
zavodnje,Savinjska,1998,Apr,5.0
skale,Savinjska,1998,Apr,9.0
kovk,Zasavska,1998,Apr,7.0
vnajnarje,Osrednjeslovenska,1998,Apr,0.0
eis celje,Savinjska,1998,Apr,45.0
skale,Savinjska,1998,Apr,47.0
ljubljana f.,Osrednjeslovenska,1998,Maj,
maribor,Podravska,1998,Maj,36.0
celje,Savinjska,1998,Maj,22.0
trbovlje,Zasavska,1998,Maj,30.0
zavodnje,Savinjska,1998,Maj,5.0
skale,Savinjska,1998,Maj,6.0
kovk,Zasavska,1998,Maj,3.0
vnajnarje,Osrednjeslovenska,1998,Maj,0.0
eis celje,Savinjska,1998,Maj,42.0
skale,Savinjska,1998,Maj,43.0
ljubljana f.,Osrednjeslovenska,1998,Jun,28.0
maribor,Podravska,1998,Jun,33.0
celje,Savinjska,1998,Jun,18.0
trbovlje,Zasavska,1998,Jun,22.0
zavodnje,Savinjska,1998,Jun,5.0
skale,Savinjska,1998,Jun,7.0
kovk,Zasavska,1998,Jun,8.0
vnajnarje,Osrednjeslovenska,1998,Jun,2.0
eis celje,Savinjska,1998,Jun,37.0
skale,Savinjska,1998,Jun,39.0
ljubljana f.,Osrednjeslovenska,1998,Jul,32.0
maribor,Podravska,1998,Jul,32.0
celje,Savinjska,1998,Jul,22.0
trbovlje,Zasavska,1998,Jul,23.0
zavodnje,Savinjska,1998,Jul,5.0
