Postaja,Regija,Leto,PM10 - Dnevnih presežkov
ljubljana bezigrad,Osrednjeslovenska,2005,71.0
maribor,Podravska,2005,103.0
celje,Savinjska,2005,97.0
trbovlje,Zasavska,2005,160.0
zagorje,Zasavska,2005,150.0
nova gorica,Goriška,2005,43.0
murska s.-rakican,Pomurska,2005,67.0
iskrba,Jugovzhodna Slovenija,2005,5.0
pesje,Posavska,2005,23.0
skale,Savinjska,2005,15.0
prapretno,Zasavska,2005,15.0
mo maribor,Podravska,2005,111.0
eis krsko,Posavska,2005,89.0
ljubljana bezigrad,Osrednjeslovenska,2006,50.0
maribor,Podravska,2006,117.0
celje,Savinjska,2006,62.0
trbovlje,Zasavska,2006,92.0
zagorje,Zasavska,2006,110.0
nova gorica,Goriška,2006,50.0
murska s.-rakican,Pomurska,2006,58.0
koper,Obalno-kraška,2006,48.0
iskrba,Jugovzhodna Slovenija,2006,5.0
pesje,Posavska,2006,24.0
skale,Savinjska,2006,19.0
prapretno,Zasavska,2006,33.0
oms lj. (vnajnarje),Osrednjeslovenska,2006,20.0
mo maribor,Podravska,2006,132.0
eis celje,Savinjska,2006,92.0
ljubljana bezigrad,Osrednjeslovenska,2007,48.0
maribor,Podravska,2007,92.0
celje,Savinjska,2007,51.0
trbovlje,Zasavska,2007,83.0
zagorje,Zasavska,2007,100.0
murska s.-rakican,Pomurska,2007,37.0
nova gorica,Goriška,2007,40.0
koper,Obalno-kraška,2007,19.0
pesje,Posavska,2007,14.0
skale,Savinjska,2007,11.0
prapretno,Zasavska,2007,36.0
oms ljubljana (vnajnarje),Osrednjeslovenska,2007,10.0
mo maribor,Podravska,2007,94.0
eis celje,Savinjska,2007,67.0
eis anhovo (morsko),Goriška,2007,18.0
eis anhovo (gor.polje),Goriška,2007,16.0
ljubljana bezigrad,Osrednjeslovenska,2008,37.0
maribor,Podravska,2008,54.0
celje,Savinjska,2008,37.0
trbovlje,Zasavska,2008,73.0
zagorje,Zasavska,2008,107.0
murska s.-rakican,Pomurska,2008,42.0
nova gorica,Goriška,2008,35.0
koper,Obalno-kraška,2008,12.0
pesje,Posavska,2008,9.0
skale,Savinjska,2008,12.0
prapretno,Zasavska,2008,25.0
oms ljubljana figovec,Osrednjeslovenska,2008,101.0
mo maribor,Podravska,2008,52.0
eis anhovo (morsko),Goriška,2008,16.0
eis anhovo (gor.polje),Goriška,2008,24.0
ljubljana bezigrad,Osrednjeslovenska,2009,30.0
ljubljana biotehniska f.,Osrednjeslovenska,2009,25.0
maribor center,Podravska,2009,35.0
celje,Savinjska,2009,42.0
trbovlje,Zasavska,2009,48.0
zagorje,Zasavska,2009,56.0
murska s.-rakican,Pomurska,2009,31.0
nova gorica,Goriška,2009,24.0
koper,Obalno-kraška,2009,2.0
iskrba,Jugovzhodna Slovenija,2009,5.0
pesje,Posavska,2009,12.0
skale,Savinjska,2009,13.0
prapretno,Zasavska,2009,20.0
oms ljubljana center,Osrednjeslovenska,2009,113.0
te-to ljubljana (vnajnarje),Osrednjeslovenska,2009,7.0
mo maribor,Podravska,2009,24.0
eis anhovo (morsko),Goriška,2009,14.0
eis anhovo (gor.polje),Goriška,2009,16.0
ljubljana bezigrad,Osrednjeslovenska,2010,43.0
ljubljana biotehniska f.,Osrednjeslovenska,2010,32.0
maribor center,Podravska,2010,47.0
kranj,Gorenjska,2010,37.0
novo mesto,Jugovzhodna Slovenija,2010,60.0
celje,Savinjska,2010,58.0
trbovlje,Zasavska,2010,64.0
hrastnik,Zasavska,2010,30.0
zagorje,Zasavska,2010,68.0
murska s.-rakican,Pomurska,2010,52.0
nova gorica,Goriška,2010,27.0
koper,Obalno-kraška,2010,15.0
zerjav,Koroška,2010,29.0
iskrba,Jugovzhodna Slovenija,2010,5.0
pesje,Posavska,2010,10.0
skale,Savinjska,2010,12.0
prapretno,Zasavska,2010,29.0
oms ljubljana center,Osrednjeslovenska,2010,74.0
te-to ljubljana (vnajnarje),Osrednjeslovenska,2010,2.0
mo maribor-tabor,Podravska,2010,38.0
eis anhovo (morsko),Goriška,2010,5.0
eis anhovo (gor.polje),Goriška,2010,13.0
ljubljana bezigrad,Osrednjeslovenska,2011,63.0
ljubljana biotehniska f.,Osrednjeslovenska,2011,51.0
maribor center,Podravska,2011,64.0
maribor vrbanski plato,Podravska,2011,25.0
kranj,Gorenjska,2011,55.0
novo mesto,Jugovzhodna Slovenija,2011,69.0
celje,Savinjska,2011,73.0
trbovlje,Zasavska,2011,68.0
hrastnik,Zasavska,2011,51.0
zagorje,Zasavska,2011,75.0
murska s.-rakican,Pomurska,2011,71.0
nova gorica,Goriška,2011,28.0
koper,Obalno-kraška,2011,21.0
zerjav,Koroška,2011,79.0
iskrba,Jugovzhodna Slovenija,2011,3.0
pesje,Posavska,2011,16.0
skale,Savinjska,2011,20.0
prapretno,Zasavska,2011,49.0
oms ljubljana center,Osrednjeslovenska,2011,94.0
te-to ljubljana (vnajnarje),Osrednjeslovenska,2011,12.0
eis anhovo (morsko),Goriška,2011,13.0
eis anhovo (gor.polje),Goriška,2011,18.0
ljubljana bezigrad,Osrednjeslovenska,2012,27.0
ljubljana biotehniska f.,Osrednjeslovenska,2012,21.0
maribor center,Podravska,2012,34.0
maribor vrbanski plato,Podravska,2012,8.0
kranj,Gorenjska,2012,27.0
novo mesto,Jugovzhodna Slovenija,2012,45.0
celje,Savinjska,2012,55.0
trbovlje,Zasavska,2012,65.0
hrastnik,Zasavska,2012,17.0
zagorje,Zasavska,2012,62.0
murska sobota rakican,Pomurska,2012,44.0
nova gorica,Goriška,2012,19.0
koper,Obalno-kraška,2012,23.0
zerjav,Koroška,2012,44.0
iskrba,Jugovzhodna Slovenija,2012,1.0
sostanj,Savinjska,2012,
pesje,Posavska,2012,16.0
skale,Savinjska,2012,20.0
prapretno,Zasavska,2012,25.0
oms ljubljana center,Osrednjeslovenska,2012,107.0
te-to ljubljana,Osrednjeslovenska,2012,8.0
eis anhovo (morsko),Goriška,2012,10.0
eis anhovo (gor.polje),Goriška,2012,11.0
ljubljana bezigrad,Osrednjeslovenska,2013,22.0
maribor,Podravska,2013,36.0
celje,Savinjska,2013,51.0
murska sobota-rakican,Pomurska,2013,38.0
nova gorica,Goriška,2013,12.0
trbovlje,Zasavska,2013,50.0
zagorje,Zasavska,2013,48.0
