Postaja,Regija,Leto,SO2 - Urnih presežkov,SO2 - Dnevnih presežkov
trbovlje,Zasavska,2005,17,1
hrastnik,Zasavska,2005,12,0
zagorje,Zasavska,2005,17,1
sostanj,Savinjska,2005,22,0
veliki vrh,Savinjska,2005,56,4
zavodnje,Savinjska,2005,9,1
graska gora,Koroška,2005,2,0
kovk,Zasavska,2005,94,21
dobovec,Zasavska,2005,129,13
kum,Zasavska,2005,12,0
ravenska vas,Zasavska,2005,205,35
eis krsko,Posavska,2005,72,17
eis teb (sv.mohor),Savinjska,2005,1,0
trbovlje,Zasavska,2006,1,0
sostanj,Savinjska,2006,12,1
veliki vrh,Savinjska,2006,28,0
zavodnje,Savinjska,2006,1,0
kovk,Zasavska,2006,3,0
dobovec,Zasavska,2006,3,1
ravenska vas,Zasavska,2006,1,0
eis krsko,Posavska,2006,44,4
eis teb (sv.mohor),Savinjska,2006,1,0
sostanj,Savinjska,2007,11,0
veliki vrh,Savinjska,2007,9,0
graska gora,Koroška,2007,2,0
kovk,Zasavska,2007,1,0
dobovec,Zasavska,2007,3,1
zagorje,Zasavska,2008,2,0
sostanj,Savinjska,2008,1,0
veliki vrh,Savinjska,2008,6,0
ravenska vas,Zasavska,2008,1,0
zavodnje,Savinjska,2009,2,0
kovk,Zasavska,2009,1,0
dobovec,Zasavska,2009,7,0
ravenska vas,Zasavska,2009,1,0
sostanj,Savinjska,2010,1,0
ravenska vas,Zasavska,2010,1,0
veliki vrh,Savinjska,2011,3,0
zavodnje,Savinjska,2011,1,0
dobovec,Zasavska,2011,2,0
ravenska vas,Zasavska,2011,3,0
sostanj,Savinjska,2012,2,0
veliki vrh,Savinjska,2012,4,0
kovk,Zasavska,2012,3,0
lokovica - veliki vrh,Savinjska,2013,1,0
zavodnje,Savinjska,2013,1,0
prapretno,Zasavska,2013,2,0
amp gaji,Savinjska,2014,1,0
zavodnje,Savinjska,2015,1,0
skale,Savinjska,2023,1,0
