Postaja,Regija,Datum,SO2,NO2
amp gaji,Savinjska,2013-01-31,55,87
amp gaji,Savinjska,2013-02-28,17,101
amp gaji,Savinjska,2013-03-31,36,110
amp gaji,Savinjska,2013-04-30,29,85
amp gaji,Savinjska,2013-05-31,21,54
amp gaji,Savinjska,2013-06-30,17,45
amp gaji,Savinjska,2013-07-31,19,38
amp gaji,Savinjska,2013-08-31,27,58
amp gaji,Savinjska,2013-09-30,11,41
amp gaji,Savinjska,2013-10-31,16,44
amp gaji,Savinjska,2013-11-30,21,58
amp gaji,Savinjska,2013-12-31,22,77
amp gaji,Savinjska,2014-01-31,26,69
amp gaji,Savinjska,2014-02-28,22,89
amp gaji,Savinjska,2014-03-31,23,89
amp gaji,Savinjska,2014-04-30,14,77
amp gaji,Savinjska,2014-05-31,28,51
amp gaji,Savinjska,2014-06-30,20,49
amp gaji,Savinjska,2014-07-31,16,41
amp gaji,Savinjska,2014-08-31,19,55
amp gaji,Savinjska,2014-09-30,34,54
amp gaji,Savinjska,2014-10-31,474,72
amp gaji,Savinjska,2014-11-30,31,72
amp gaji,Savinjska,2014-12-31,22,117
amp gaji,Savinjska,2015-01-31,12,162
amp gaji,Savinjska,2015-02-28,26,114
amp gaji,Savinjska,2015-03-31,27,92
amp gaji,Savinjska,2015-04-30,37,75
amp gaji,Savinjska,2015-05-31,33,56
amp gaji,Savinjska,2015-06-30,9,50
amp gaji,Savinjska,2015-07-31,33,54
amp gaji,Savinjska,2015-08-31,16,39
amp gaji,Savinjska,2015-09-30,14,59
amp gaji,Savinjska,2015-10-31,33,50
amp gaji,Savinjska,2015-11-30,20,81
amp gaji,Savinjska,2015-12-31,35,77
amp gaji,Savinjska,2016-01-31,94.0,103.0
amp gaji,Savinjska,2016-02-29,20.0,41.0
amp gaji,Savinjska,2016-03-31,31.0,53.0
amp gaji,Savinjska,2016-04-30,24.0,50.0
amp gaji,Savinjska,2016-05-31,31.0,40.0
amp gaji,Savinjska,2016-06-30,35.0,29.0
amp gaji,Savinjska,2016-07-31,13.0,28.0
amp gaji,Savinjska,2016-08-31,37.0,24.0
amp gaji,Savinjska,2016-09-30,27.0,43.0
amp gaji,Savinjska,2016-10-31,15.0,52.0
amp gaji,Savinjska,2016-11-30,26.0,75.0
amp gaji,Savinjska,2016-12-31,136.0,84.0
brestanica-sv.mohor,Posavska,2009-01-31,45.0,
brestanica-sv.mohor,Posavska,2009-02-28,28.0,
brestanica-sv.mohor,Posavska,2009-03-31,37.0,
brestanica-sv.mohor,Posavska,2009-04-30,30.0,
brestanica-sv.mohor,Posavska,2009-05-31,31.0,
brestanica-sv.mohor,Posavska,2009-06-30,29.0,
brestanica-sv.mohor,Posavska,2009-07-31,25.0,
brestanica-sv.mohor,Posavska,2009-08-31,35.0,
brestanica-sv.mohor,Posavska,2009-09-30,50.0,
brestanica-sv.mohor,Posavska,2009-10-31,33.0,
brestanica-sv.mohor,Posavska,2009-11-30,43.0,
brestanica-sv.mohor,Posavska,2009-12-31,82.0,
brestanica-sv.mohor,Posavska,2010-01-31,49,
brestanica-sv.mohor,Posavska,2010-02-28,45,
brestanica-sv.mohor,Posavska,2010-03-31,45,
brestanica-sv.mohor,Posavska,2010-04-30,32,
brestanica-sv.mohor,Posavska,2010-05-31,53,
brestanica-sv.mohor,Posavska,2010-06-30,65,
brestanica-sv.mohor,Posavska,2010-07-31,32,
brestanica-sv.mohor,Posavska,2010-08-31,62,
brestanica-sv.mohor,Posavska,2010-09-30,27,
brestanica-sv.mohor,Posavska,2010-10-31,23,
brestanica-sv.mohor,Posavska,2010-11-30,66,
brestanica-sv.mohor,Posavska,2010-12-31,46,
brestanica-sv.mohor,Posavska,2011-01-31,23,
brestanica-sv.mohor,Posavska,2011-02-28,48,
brestanica-sv.mohor,Posavska,2011-03-31,33,
brestanica-sv.mohor,Posavska,2011-04-30,9,
brestanica-sv.mohor,Posavska,2011-05-31,19,
brestanica-sv.mohor,Posavska,2011-06-30,30,
brestanica-sv.mohor,Posavska,2011-07-31,7,
brestanica-sv.mohor,Posavska,2011-08-31,12,
brestanica-sv.mohor,Posavska,2011-09-30,10,
brestanica-sv.mohor,Posavska,2011-10-31,14,
brestanica-sv.mohor,Posavska,2011-11-30,59,
brestanica-sv.mohor,Posavska,2011-12-31,152,
brestanica-sv.mohor,Posavska,2012-01-31,33,
brestanica-sv.mohor,Posavska,2012-02-29,37,
brestanica-sv.mohor,Posavska,2012-03-31,25,
brestanica-sv.mohor,Posavska,2012-04-30,18,
brestanica-sv.mohor,Posavska,2012-05-31,10,
brestanica-sv.mohor,Posavska,2012-06-30,16,
brestanica-sv.mohor,Posavska,2012-07-31,16,
brestanica-sv.mohor,Posavska,2012-08-31,8,
brestanica-sv.mohor,Posavska,2012-09-30,15,
brestanica-sv.mohor,Posavska,2012-10-31,10,
brestanica-sv.mohor,Posavska,2012-11-30,34,
brestanica-sv.mohor,Posavska,2012-12-31,13,
ce bolnica,Savinjska,2020-01-31,38.0,113.0
ce bolnica,Savinjska,2020-02-29,25.0,97.0
ce bolnica,Savinjska,2020-03-31,14.0,90.0
ce bolnica,Savinjska,2020-04-30,22.0,93.0
ce bolnica,Savinjska,2020-05-31,15.0,66.0
ce bolnica,Savinjska,2020-06-30,12.0,60.0
ce bolnica,Savinjska,2020-07-31,19.0,42.0
ce bolnica,Savinjska,2020-08-31,36.0,54.0
ce bolnica,Savinjska,2020-09-30,23.0,62.0
ce bolnica,Savinjska,2020-10-31,23.0,62.0
ce bolnica,Savinjska,2020-11-30,27.0,66.0
ce bolnica,Savinjska,2020-12-31,21.0,75.0
ce bolnica,Savinjska,2021-01-31,15.0,90.0
ce bolnica,Savinjska,2021-02-28,43.0,92.0
ce bolnica,Savinjska,2021-03-31,11.0,87.0
ce bolnica,Savinjska,2021-04-30,16.0,81.0
ce bolnica,Savinjska,2021-05-31,27.0,62.0
ce bolnica,Savinjska,2021-06-30,25.0,60.0
ce bolnica,Savinjska,2021-07-31,19.0,63.0
ce bolnica,Savinjska,2021-08-31,8.0,43.0
ce bolnica,Savinjska,2021-09-30,18.0,67.0
ce bolnica,Savinjska,2021-10-31,23.0,73.0
ce bolnica,Savinjska,2021-11-30,13.0,61.0
ce bolnica,Savinjska,2021-12-31,21.0,76.0
ce bolnica,Savinjska,2022-01-31,25.0,86.0
ce bolnica,Savinjska,2022-02-28,18.0,101.0
ce bolnica,Savinjska,2022-03-31,22.0,110.0
ce bolnica,Savinjska,2022-04-30,40.0,77.0
ce bolnica,Savinjska,2022-05-31,17.0,81.0
ce bolnica,Savinjska,2022-06-30,17.0,50.0
ce bolnica,Savinjska,2022-07-31,20.0,79.0
ce bolnica,Savinjska,2022-08-31,11.0,70.0
ce bolnica,Savinjska,2022-09-30,15.0,60.0
ce bolnica,Savinjska,2022-10-31,32.0,53.0
ce bolnica,Savinjska,2022-11-30,39.0,65.0
ce bolnica,Savinjska,2022-12-31,30.0,61.0
ce bolnica,Savinjska,2023-01-31,46,77
ce bolnica,Savinjska,2023-02-28,76,96
ce bolnica,Savinjska,2023-03-31,32,91
