Postaja,Regija,Leto,Mesec,Snov,Vrednost
ljubljana f.,Osrednjeslovenska,1997,Jan,SO2,50.0
ljubljana b.,Osrednjeslovenska,1997,Jan,SO2,69.0
maribor,Podravska,1997,Jan,SO2,50.0
celje,Savinjska,1997,Jan,SO2,72.0
trbovlje,Zasavska,1997,Jan,SO2,106.0
hrastnik,Zasavska,1997,Jan,SO2,94.0
zagorje,Zasavska,1997,Jan,SO2,67.0
sostanj,Savinjska,1997,Jan,SO2,36.0
topolsica,Savinjska,1997,Jan,SO2,33.0
veliki vrh,Savinjska,1997,Jan,SO2,80.0
zavodnje,Savinjska,1997,Jan,SO2,103.0
velenje,Savinjska,1997,Jan,SO2,40.0
graska gora,Koroška,1997,Jan,SO2,71.0
razbor,Posavska,1997,Jan,SO2,49.0
skale,Savinjska,1997,Jan,SO2,
kovk,Zasavska,1997,Jan,SO2,173.0
dobovec,Zasavska,1997,Jan,SO2,196.0
kum,Zasavska,1997,Jan,SO2,32.0
ravenska vas,Zasavska,1997,Jan,SO2,116.0
vnajnarje,Osrednjeslovenska,1997,Jan,SO2,37.0
eis celje,Savinjska,1997,Jan,SO2,66.0
eis krsko,Posavska,1997,Jan,SO2,41.0
ljubljana f.,Osrednjeslovenska,1997,Jan,NO2,31.0
maribor,Podravska,1997,Jan,NO2,45.0
celje,Savinjska,1997,Jan,NO2,42.0
trbovlje,Zasavska,1997,Jan,NO2,
zavodnje,Savinjska,1997,Jan,NO2,15.0
razbor,Posavska,1997,Jan,NO2,15.0
skale,Savinjska,1997,Jan,NO2,
kovk,Zasavska,1997,Jan,NO2,3.0
vnajnarje,Osrednjeslovenska,1997,Jan,NO2,11.0
eis celje,Savinjska,1997,Jan,NO2,50.0
ljubljana f.,Osrednjeslovenska,1997,Jan,NOX,65.0
maribor,Podravska,1997,Jan,NOX,84.0
celje,Savinjska,1997,Jan,NOX,70.0
trbovlje,Zasavska,1997,Jan,NOX,
zavodnje,Savinjska,1997,Jan,NOX,23.0
razbor,Posavska,1997,Jan,NOX,19.0
skale,Savinjska,1997,Jan,NOX,
kovk,Zasavska,1997,Jan,NOX,10.0
vnajnarje,Osrednjeslovenska,1997,Jan,NOX,12.0
ljubljana f.,Osrednjeslovenska,1997,Feb,SO2,38.0
ljubljana b.,Osrednjeslovenska,1997,Feb,SO2,38.0
maribor,Podravska,1997,Feb,SO2,46.0
celje,Savinjska,1997,Feb,SO2,41.0
trbovlje,Zasavska,1997,Feb,SO2,61.0
hrastnik,Zasavska,1997,Feb,SO2,29.0
zagorje,Zasavska,1997,Feb,SO2,38.0
sostanj,Savinjska,1997,Feb,SO2,24.0
topolsica,Savinjska,1997,Feb,SO2,23.0
veliki vrh,Savinjska,1997,Feb,SO2,66.0
zavodnje,Savinjska,1997,Feb,SO2,61.0
velenje,Savinjska,1997,Feb,SO2,14.0
graska gora,Koroška,1997,Feb,SO2,64.0
razbor,Posavska,1997,Feb,SO2,46.0
skale,Savinjska,1997,Feb,SO2,
kovk,Zasavska,1997,Feb,SO2,122.0
dobovec,Zasavska,1997,Feb,SO2,61.0
kum,Zasavska,1997,Feb,SO2,24.0
ravenska vas,Zasavska,1997,Feb,SO2,49.0
vnajnarje,Osrednjeslovenska,1997,Feb,SO2,28.0
eis celje,Savinjska,1997,Feb,SO2,38.0
eis krsko,Posavska,1997,Feb,SO2,65.0
ljubljana f.,Osrednjeslovenska,1997,Feb,NO2,52.0
maribor,Podravska,1997,Feb,NO2,57.0
celje,Savinjska,1997,Feb,NO2,23.0
trbovlje,Zasavska,1997,Feb,NO2,
zavodnje,Savinjska,1997,Feb,NO2,9.0
razbor,Posavska,1997,Feb,NO2,9.0
skale,Savinjska,1997,Feb,NO2,
kovk,Zasavska,1997,Feb,NO2,
vnajnarje,Osrednjeslovenska,1997,Feb,NO2,9.0
eis celje,Savinjska,1997,Feb,NO2,53.0
ljubljana f.,Osrednjeslovenska,1997,Feb,NOX,116.0
maribor,Podravska,1997,Feb,NOX,104.0
celje,Savinjska,1997,Feb,NOX,59.0
trbovlje,Zasavska,1997,Feb,NOX,51.0
zavodnje,Savinjska,1997,Feb,NOX,11.0
razbor,Posavska,1997,Feb,NOX,9.0
skale,Savinjska,1997,Feb,NOX,
kovk,Zasavska,1997,Feb,NOX,
vnajnarje,Osrednjeslovenska,1997,Feb,NOX,9.0
ljubljana f.,Osrednjeslovenska,1997,Mar,SO2,34.0
ljubljana b.,Osrednjeslovenska,1997,Mar,SO2,41.0
maribor,Podravska,1997,Mar,SO2,24.0
celje,Savinjska,1997,Mar,SO2,35.0
trbovlje,Zasavska,1997,Mar,SO2,43.0
hrastnik,Zasavska,1997,Mar,SO2,28.0
zagorje,Zasavska,1997,Mar,SO2,42.0
sostanj,Savinjska,1997,Mar,SO2,18.0
topolsica,Savinjska,1997,Mar,SO2,23.0
veliki vrh,Savinjska,1997,Mar,SO2,53.0
zavodnje,Savinjska,1997,Mar,SO2,37.0
velenje,Savinjska,1997,Mar,SO2,11.0
graska gora,Koroška,1997,Mar,SO2,27.0
razbor,Posavska,1997,Mar,SO2,34.0
skale,Savinjska,1997,Mar,SO2,
kovk,Zasavska,1997,Mar,SO2,40.0
dobovec,Zasavska,1997,Mar,SO2,63.0
kum,Zasavska,1997,Mar,SO2,23.0
ravenska vas,Zasavska,1997,Mar,SO2,91.0
vnajnarje,Osrednjeslovenska,1997,Mar,SO2,22.0
eis celje,Savinjska,1997,Mar,SO2,30.0
eis krsko,Posavska,1997,Mar,SO2,88.0
ljubljana f.,Osrednjeslovenska,1997,Mar,NO2,40.0
maribor,Podravska,1997,Mar,NO2,40.0
celje,Savinjska,1997,Mar,NO2,26.0
trbovlje,Zasavska,1997,Mar,NO2,28.0
zavodnje,Savinjska,1997,Mar,NO2,7.0
razbor,Posavska,1997,Mar,NO2,7.0
skale,Savinjska,1997,Mar,NO2,
kovk,Zasavska,1997,Mar,NO2,0.0
vnajnarje,Osrednjeslovenska,1997,Mar,NO2,5.0
eis celje,Savinjska,1997,Mar,NO2,44.0
ljubljana f.,Osrednjeslovenska,1997,Mar,NOX,64.0
maribor,Podravska,1997,Mar,NOX,65.0
celje,Savinjska,1997,Mar,NOX,51.0
trbovlje,Zasavska,1997,Mar,NOX,54.0
zavodnje,Savinjska,1997,Mar,NOX,8.0
razbor,Posavska,1997,Mar,NOX,9.0
skale,Savinjska,1997,Mar,NOX,
kovk,Zasavska,1997,Mar,NOX,1.0
vnajnarje,Osrednjeslovenska,1997,Mar,NOX,5.0
ljubljana f.,Osrednjeslovenska,1997,Apr,SO2,20.0
ljubljana b.,Osrednjeslovenska,1997,Apr,SO2,30.0
maribor,Podravska,1997,Apr,SO2,20.0
celje,Savinjska,1997,Apr,SO2,24.0
trbovlje,Zasavska,1997,Apr,SO2,37.0
hrastnik,Zasavska,1997,Apr,SO2,22.0
zagorje,Zasavska,1997,Apr,SO2,37.0
sostanj,Savinjska,1997,Apr,SO2,34.0
topolsica,Savinjska,1997,Apr,SO2,22.0
veliki vrh,Savinjska,1997,Apr,SO2,56.0
zavodnje,Savinjska,1997,Apr,SO2,31.0
velenje,Savinjska,1997,Apr,SO2,10.0
graska gora,Koroška,1997,Apr,SO2,37.0
razbor,Posavska,1997,Apr,SO2,26.0
skale,Savinjska,1997,Apr,SO2,
kovk,Zasavska,1997,Apr,SO2,70.0
dobovec,Zasavska,1997,Apr,SO2,37.0
kum,Zasavska,1997,Apr,SO2,31.0
ravenska vas,Zasavska,1997,Apr,SO2,87.0
vnajnarje,Osrednjeslovenska,1997,Apr,SO2,15.0
eis celje,Savinjska,1997,Apr,SO2,25.0
eis krsko,Posavska,1997,Apr,SO2,81.0
ljubljana f.,Osrednjeslovenska,1997,Apr,NO2,31.0
maribor,Podravska,1997,Apr,NO2,34.0
celje,Savinjska,1997,Apr,NO2,
trbovlje,Zasavska,1997,Apr,NO2,27.0
zavodnje,Savinjska,1997,Apr,NO2,6.0
