"2: Najpogostejši vzrok smrti po spolu, statistiène regije, Slovenija, letno"

"SPOL";"STATISTIÈNA REGIJA";"2002 Vzrok smrti na 1000 prebivalcev Bolezni dihal (J00-J99)";"2003 Vzrok smrti na 1000 prebivalcev Bolezni dihal (J00-J99)";"2004 Vzrok smrti na 1000 prebivalcev Bolezni dihal (J00-J99)";"2005 Vzrok smrti na 1000 prebivalcev Bolezni dihal (J00-J99)";"2006 Vzrok smrti na 1000 prebivalcev Bolezni dihal (J00-J99)";"2007 Vzrok smrti na 1000 prebivalcev Bolezni dihal (J00-J99)";"2008 Vzrok smrti na 1000 prebivalcev Bolezni dihal (J00-J99)";"2009 Vzrok smrti na 1000 prebivalcev Bolezni dihal (J00-J99)";"2010 Vzrok smrti na 1000 prebivalcev Bolezni dihal (J00-J99)";"2011 Vzrok smrti na 1000 prebivalcev Bolezni dihal (J00-J99)";"2012 Vzrok smrti na 1000 prebivalcev Bolezni dihal (J00-J99)";"2013 Vzrok smrti na 1000 prebivalcev Bolezni dihal (J00-J99)";"2014 Vzrok smrti na 1000 prebivalcev Bolezni dihal (J00-J99)";"2015 Vzrok smrti na 1000 prebivalcev Bolezni dihal (J00-J99)";"2016 Vzrok smrti na 1000 prebivalcev Bolezni dihal (J00-J99)";"2017 Vzrok smrti na 1000 prebivalcev Bolezni dihal (J00-J99)";"2018 Vzrok smrti na 1000 prebivalcev Bolezni dihal (J00-J99)";"2019 Vzrok smrti na 1000 prebivalcev Bolezni dihal (J00-J99)";"2020 Vzrok smrti na 1000 prebivalcev Bolezni dihal (J00-J99)";"2021 Vzrok smrti na 1000 prebivalcev Bolezni dihal (J00-J99)";"2022 Vzrok smrti na 1000 prebivalcev Bolezni dihal (J00-J99)"
"Spol - SKUPAJ";"SLOVENIJA";0.7;0.8;0.7;0.7;0.6;0.5;0.6;0.6;0.5;0.6;0.7;0.6;0.6;0.6;0.6;0.6;0.5;0.5;0.4;0.3;0.3
"Spol - SKUPAJ";"Pomurska";0.6;1.1;0.8;0.9;0.9;0.6;0.7;0.7;0.7;0.7;0.9;1.0;1.0;0.8;0.7;0.7;0.6;0.7;0.4;0.4;0.4
"Spol - SKUPAJ";"Podravska";0.8;0.8;0.8;0.7;0.6;0.5;0.6;0.6;0.4;0.6;0.6;0.7;0.5;0.7;0.7;0.7;0.7;0.6;0.5;0.4;0.4
"Spol - SKUPAJ";"Koroška";0.7;0.7;0.5;0.8;0.6;0.6;0.6;0.7;0.7;0.8;0.6;0.7;0.6;0.7;0.6;0.7;0.6;0.5;0.3;0.3;0.5
"Spol - SKUPAJ";"Savinjska";0.7;1.0;0.9;0.8;0.7;0.6;0.6;0.8;0.7;0.7;0.9;0.8;0.8;0.9;0.7;0.8;0.7;0.6;0.5;0.4;0.3
"Spol - SKUPAJ";"Zasavska";1.1;0.9;0.9;0.9;0.7;0.4;0.6;0.9;0.9;0.8;1.1;1.0;0.9;0.7;0.5;0.7;0.6;0.9;0.4;0.5;0.5
"Spol - SKUPAJ";"Posavska";0.4;0.5;0.6;0.7;0.7;0.6;0.5;0.5;0.6;0.5;0.5;0.5;0.6;0.5;0.7;0.6;0.5;0.4;0.3;0.3;0.3
"Spol - SKUPAJ";"Jugovzhodna Slovenija";0.8;0.8;0.8;0.7;0.4;0.5;0.5;0.7;0.6;0.6;0.7;0.7;0.5;0.7;0.6;0.7;0.5;0.4;0.4;0.3;0.3
"Spol - SKUPAJ";"Osrednjeslovenska";0.7;0.7;0.6;0.6;0.6;0.5;0.4;0.5;0.4;0.5;0.5;0.5;0.4;0.5;0.5;0.5;0.4;0.4;0.3;0.2;0.2
"Spol - SKUPAJ";"Gorenjska";0.5;0.7;0.6;0.6;0.4;0.5;0.6;0.6;0.5;0.5;0.6;0.5;0.5;0.5;0.5;0.5;0.5;0.4;0.4;0.3;0.3
"Spol - SKUPAJ";"Primorsko-notranjska";0.9;0.8;0.7;1.0;0.9;0.8;1.0;0.8;1.1;0.7;0.8;0.7;0.7;0.6;0.9;0.7;0.5;0.6;0.3;0.3;0.4
"Spol - SKUPAJ";"Goriška";0.8;0.8;0.7;0.8;0.6;0.5;0.7;0.6;0.6;0.5;0.7;0.8;0.6;0.6;0.7;0.7;0.5;0.5;0.5;0.4;0.4
"Spol - SKUPAJ";"Obalno-kraška";0.8;0.8;0.8;0.6;0.7;0.7;0.7;0.8;0.6;0.7;0.7;0.6;0.5;0.8;0.6;0.7;0.5;0.5;0.4;0.3;0.4
