Postaja,Regija,Leto,Mesec,PM10,SO2,NO2,NOX
celje,Savinjska,1997,Jan,,72.0,42.0,70.0
dobovec,Zasavska,1997,Jan,,196.0,,
eis celje,Savinjska,1997,Jan,,66.0,50.0,
eis krsko,Posavska,1997,Jan,,41.0,,
graska gora,Koroška,1997,Jan,,71.0,,
hrastnik,Zasavska,1997,Jan,,94.0,,
kovk,Zasavska,1997,Jan,,173.0,3.0,10.0
kum,Zasavska,1997,Jan,,32.0,,
ljubljana b.,Osrednjeslovenska,1997,Jan,,69.0,,
ljubljana f.,Osrednjeslovenska,1997,Jan,,50.0,31.0,65.0
maribor,Podravska,1997,Jan,,50.0,45.0,84.0
ravenska vas,Zasavska,1997,Jan,,116.0,,
razbor,Posavska,1997,Jan,,49.0,15.0,19.0
skale,Savinjska,1997,Jan,,,,
sostanj,Savinjska,1997,Jan,,36.0,,
topolsica,Savinjska,1997,Jan,,33.0,,
trbovlje,Zasavska,1997,Jan,,106.0,,
velenje,Savinjska,1997,Jan,,40.0,,
veliki vrh,Savinjska,1997,Jan,,80.0,,
vnajnarje,Osrednjeslovenska,1997,Jan,,37.0,11.0,12.0
zagorje,Zasavska,1997,Jan,,67.0,,
zavodnje,Savinjska,1997,Jan,,103.0,15.0,23.0
celje,Savinjska,1997,Feb,,41.0,23.0,59.0
dobovec,Zasavska,1997,Feb,,61.0,,
eis celje,Savinjska,1997,Feb,,38.0,53.0,
eis krsko,Posavska,1997,Feb,,65.0,,
graska gora,Koroška,1997,Feb,,64.0,,
hrastnik,Zasavska,1997,Feb,,29.0,,
kovk,Zasavska,1997,Feb,,122.0,,
kum,Zasavska,1997,Feb,,24.0,,
ljubljana b.,Osrednjeslovenska,1997,Feb,,38.0,,
ljubljana f.,Osrednjeslovenska,1997,Feb,,38.0,52.0,116.0
maribor,Podravska,1997,Feb,,46.0,57.0,104.0
ravenska vas,Zasavska,1997,Feb,,49.0,,
razbor,Posavska,1997,Feb,,46.0,9.0,9.0
skale,Savinjska,1997,Feb,,,,
sostanj,Savinjska,1997,Feb,,24.0,,
topolsica,Savinjska,1997,Feb,,23.0,,
trbovlje,Zasavska,1997,Feb,,61.0,,51.0
velenje,Savinjska,1997,Feb,,14.0,,
veliki vrh,Savinjska,1997,Feb,,66.0,,
vnajnarje,Osrednjeslovenska,1997,Feb,,28.0,9.0,9.0
zagorje,Zasavska,1997,Feb,,38.0,,
zavodnje,Savinjska,1997,Feb,,61.0,9.0,11.0
celje,Savinjska,1997,Mar,,35.0,26.0,51.0
dobovec,Zasavska,1997,Mar,,63.0,,
eis celje,Savinjska,1997,Mar,,30.0,44.0,
eis krsko,Posavska,1997,Mar,,88.0,,
graska gora,Koroška,1997,Mar,,27.0,,
