Datum,Koroška,Osrednjeslovenska,Posavska,Savinjska,Zasavska
1997-01-31,71.0,52.0,45.0,61.42857142857143,112.0
1997-02-28,64.0,34.666666666666664,55.5,38.142857142857146,54.857142857142854
1997-03-31,27.0,32.333333333333336,61.0,29.571428571428573,47.142857142857146
1997-04-30,37.0,21.666666666666668,53.5,28.857142857142858,45.857142857142854
1997-05-31,45.0,21.666666666666668,42.5,23.428571428571427,42.0
1997-06-30,17.0,23.333333333333332,45.0,14.75,36.285714285714285
1997-07-31,33.0,31.0,47.0,18.25,35.42857142857143
1997-08-31,15.0,13.333333333333334,14.0,17.25,45.142857142857146
1997-09-30,25.0,11.0,67.0,22.875,37.42857142857143
1997-10-31,44.0,21.666666666666668,28.0,27.25,43.857142857142854
1997-11-30,28.0,22.0,42.0,33.5,47.857142857142854
1997-12-31,23.0,27.666666666666668,32.0,30.875,46.57142857142857
1998-01-31,41.0,30.0,72.0,36.93333333333333,51.714285714285715
1998-02-28,42.0,55.0,148.0,48.0,58.285714285714285
1998-03-31,46.0,38.333333333333336,30.0,35.266666666666666,43.0
1998-04-30,52.0,18.0,31.0,28.066666666666666,38.42857142857143
1998-05-31,22.0,11.333333333333334,59.0,15.133333333333333,36.57142857142857
1998-06-30,19.0,7.666666666666667,25.0,21.133333333333333,19.428571428571427
1998-07-31,25.0,8.666666666666666,36.0,14.066666666666666,43.0
1998-08-31,12.0,10.666666666666666,22.0,10.666666666666666,40.714285714285715
1998-09-30,28.0,7.333333333333333,14.0,14.466666666666667,31.0
1998-10-31,53.0,15.666666666666666,13.0,18.866666666666667,31.857142857142858
1998-11-30,21.0,35.666666666666664,16.0,29.666666666666668,49.714285714285715
1998-12-31,25.0,30.666666666666668,38.0,45.07142857142857,58.0
1999-01-31,38.0,22.0,28.0,62.875,71.0
1999-02-28,53.0,20.666666666666668,48.0,45.375,48.285714285714285
1999-03-31,67.0,25.666666666666668,28.0,37.625,35.857142857142854
1999-04-30,54.0,18.0,43.0,30.25,40.142857142857146
1999-05-31,24.0,24.333333333333332,36.0,23.25,31.428571428571427
1999-06-30,7.0,5.0,36.0,12.5,10.428571428571429
