Regija,YearMonth,SO2,PM10,NO2
Koroška,2002-01,36.0,,
Osrednjeslovenska,2002-01,16.0,69.0,19.0
Savinjska,2002-01,45.42857142857143,64.0,31.0
Goriška,2002-01,10.0,48.0,48.0
Podravska,2002-01,20.0,59.0,51.0
Posavska,2002-01,62.0,,
Pomurska,2002-01,9.0,50.0,27.0
Zasavska,2002-01,46.57142857142857,64.5,21.5
Pomurska,2002-02,4.0,40.0,15.0
Podravska,2002-02,16.0,58.0,40.0
Zasavska,2002-02,24.714285714285715,52.0,21.0
Posavska,2002-02,50.0,,
Goriška,2002-02,9.0,42.0,39.0
Savinjska,2002-02,36.0,54.0,25.5
Osrednjeslovenska,2002-02,7.5,44.0,24.5
Koroška,2002-02,32.0,,
Koroška,2002-03,28.0,,
Osrednjeslovenska,2002-03,9.0,48.0,20.5
Savinjska,2002-03,24.285714285714285,55.0,22.5
Goriška,2002-03,8.0,46.0,36.0
Pomurska,2002-03,4.0,43.0,13.0
Zasavska,2002-03,30.571428571428573,56.0,19.0
Podravska,2002-03,10.0,63.0,42.0
Posavska,2002-03,70.0,,
Zasavska,2002-04,43.42857142857143,47.0,18.5
Pomurska,2002-04,4.0,36.0,11.0
Posavska,2002-04,43.0,,
Podravska,2002-04,6.0,46.0,50.0
Goriška,2002-04,6.0,40.0,29.0
Savinjska,2002-04,19.428571428571427,40.0,16.0
Osrednjeslovenska,2002-04,11.5,39.0,17.5
Koroška,2002-04,15.0,,
Osrednjeslovenska,2002-05,5.0,33.0,14.0
Koroška,2002-05,27.0,,
Savinjska,2002-05,26.857142857142858,39.0,13.5
Goriška,2002-05,5.0,36.0,24.0
Podravska,2002-05,4.0,47.0,31.0
Posavska,2002-05,44.0,,
Pomurska,2002-05,6.0,32.0,10.0
Zasavska,2002-05,33.142857142857146,40.0,11.5
Zasavska,2002-06,38.142857142857146,43.0,13.0
Pomurska,2002-06,3.0,36.0,11.0
Podravska,2002-06,6.0,49.0,32.0
Posavska,2002-06,46.0,,
