Regija,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Gorenjska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1
Goriška,0.0,0.0,0.0,12.1,12.1,12.1,12.1,12.1,12.258333333333333,12.3,12.3,12.291666666666666,12.3,12.3,12.1,12.1,12.1,12.3,12.4,12.4,12.4,12.4,12.5,12.391666666666667,12.4
Jugovzhodna Slovenija,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.1,12.1,12.1,12.1,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.175,12.2,12.2,12.2
Koroška,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.2,12.1,12.1
Notranjsko-kraška,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.2
Obalno-kraška,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1
Osrednjeslovenska,12.1,10.083333333333334,9.075,12.1,12.1,12.1,12.1,12.2,12.2,12.141666666666667,12.4,12.4,12.4,12.4,12.4,12.4,12.4,12.4,12.5,12.483333333333333,12.5,12.6,12.708333333333334,12.6,12.6
Podravska,0.0,3.025,9.075,12.1,12.2,12.2,12.2,12.1,12.1,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.3,12.5,12.5,12.5,12.7,12.691666666666666,12.7,12.833333333333334
Pomurska,0.0,0.0,0.0,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.2,12.2,12.2,12.2,12.2,12.2
Posavska,0.0,0.0,0.0,0.0,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,11.091666666666667,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1
Savinjska,12.2,12.183333333333334,12.2,12.1,12.2,12.3,12.3,12.3,12.2,12.2,12.2,12.2,12.2,12.2,12.5,12.5,12.5,12.5,12.6,12.6,12.6,12.6,12.691666666666666,12.6,12.6
Zasavska,12.1,10.083333333333334,12.1,12.2,12.2,12.3,12.3,12.3,12.3,12.3,12.3,12.4,12.4,12.5,12.7,12.7,12.7,12.4,12.341666666666667,12.3,12.3,12.3,12.308333333333334,12.3,12.3
