Regija,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Gorenjska,0.0,0.0,0.0,12.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Goriška,0.0,0.0,0.0,12.1,0.0,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jugovzhodna Slovenija,0.0,0.0,0.0,12.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.091666666666667,12.1,12.1,0.0,0.0,0.0,12.1,12.1,10.083333333333334,12.1,5.041666666666667,5.041666666666667,12.1,12.1
Koroška,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,11.091666666666667,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1
Obalno-kraška,0.0,0.0,0.0,12.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Osrednjeslovenska,12.3,12.3,12.3,12.4,12.3,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.216666666666667,12.2,12.2,12.2,12.2,12.2
Podravska,12.1,12.1,12.1,12.2,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,0.0,12.1,12.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pomurska,0.0,0.0,0.0,12.1,0.0,12.1,12.1,12.1,12.1,12.1,12.1,12.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Posavska,12.141666666666667,12.1,12.1,11.091666666666667,12.1,12.1,12.2,12.2,12.2,12.2,12.1,12.1,12.2,12.2,12.2,12.2,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1
Savinjska,12.758333333333333,12.891666666666666,12.791666666666666,12.5,12.775,12.7,12.783333333333333,12.875,12.833333333333334,12.9,12.8,12.7,12.7,12.7,12.7,12.7,12.891666666666666,12.9,12.891666666666666,12.9,12.9,12.9,12.9,12.9,12.9,13.0,13.0
Zasavska,12.7,12.7,12.7,12.7,12.7,12.658333333333333,12.65,12.7,12.7,12.7,12.7,12.7,12.633333333333333,12.7,12.7,12.8,12.8,12.8,12.8,12.7,12.466666666666667,12.3,12.275,12.2,12.2,12.1,12.1
